time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006405,0.0426,0.2052,-0.3947,0.447
0.007449,0.1104,0.1954,-0.3155,0.387
0.017531,0.0711,0.1367,-0.2281,0.275
0.025528,-0.0163,-0.0002,-0.0339,0.038
0.034761,-0.1328,-0.1273,0.1695,0.250
0.043993,-0.2495,-0.2054,0.2555,0.412
0.054469,-0.2982,-0.2443,0.3225,0.503
0.064159,-0.1516,-0.2245,0.4101,0.491
0.074355,-0.0839,-0.1657,0.2833,0.339
0.084487,-0.0359,-0.0579,0.1179,0.136
0.094926,0.0709,0.0397,-0.1054,0.133
0.106041,0.1000,0.1180,-0.2219,0.270
0.116024,0.1104,0.0982,-0.2116,0.258
0.124279,0.0135,0.0294,-0.1141,0.119
0.134078,-0.1411,-0.0587,0.0607,0.164
0.150177,-0.1003,-0.0979,0.1180,0.183
0.155777,-0.1571,-0.0879,0.0963,0.204
0.164235,-0.2441,-0.0681,0.0946,0.271
0.174960,-0.1255,-0.0482,0.0238,0.137
0.184270,0.0513,0.0109,-0.0565,0.077
0.194128,0.0230,0.0212,-0.0598,0.067
0.205931,-0.0833,0.0021,-0.0433,0.094
0.214198,-0.1699,-0.0757,0.0507,0.193
0.224499,-0.1687,-0.1436,0.0957,0.241
0.234007,-0.1973,-0.1820,0.2286,0.353
0.244301,0.1462,-0.1912,0.2256,0.330
0.256836,0.3246,-0.0339,-0.0913,0.339
0.264391,-1.3891,-0.1515,0.1907,1.410
0.274583,-0.0187,-0.1307,0.3835,0.406
0.284192,0.6058,0.0760,-0.2853,0.674
0.294426,0.0758,0.1552,-0.1508,0.229
0.306130,-0.2665,0.0479,-0.1541,0.312
0.314148,-0.2564,-0.0688,-0.0698,0.274
0.324481,-0.2373,-0.2247,0.3279,0.463
0.334435,-0.1798,-0.2725,0.3431,0.474
0.344381,-0.1129,-0.1735,0.2715,0.341
0.355167,-0.0367,-0.0156,-0.0156,0.043
0.364243,0.0892,0.1419,-0.2432,0.295
0.374830,0.1665,0.1920,-0.2766,0.376
0.384253,0.0881,0.1832,-0.2710,0.339
0.395313,-0.0578,0.1159,-0.2190,0.254
