time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006530,-0.2292,0.0029,0.0464,0.234
0.008668,-0.2098,-0.0070,-0.0008,0.210
0.019293,-0.1126,0.0025,0.0006,0.113
0.027351,-0.0844,-0.0172,0.0605,0.105
0.036876,-0.0759,-0.0370,0.0717,0.111
0.047273,-0.0772,-0.0862,0.1318,0.175
0.059011,0.0095,-0.0963,0.1238,0.157
0.067081,0.0378,-0.1260,0.0769,0.152
0.077240,0.1155,-0.1264,0.0010,0.171
0.087209,0.1254,-0.1758,0.0031,0.216
0.103222,0.0478,-0.1467,-0.0048,0.154
0.108552,0.0004,-0.0979,0.0555,0.113
0.117527,-0.0563,-0.0786,0.1058,0.143
0.127321,-0.1034,-0.0495,0.1762,0.210
0.138260,-0.2485,-0.0401,0.2571,0.360
0.147023,-0.2669,0.0082,0.2312,0.353
0.158217,-0.2274,0.0173,0.0886,0.245
0.167129,-0.2179,0.0362,-0.0243,0.222
0.177109,-0.0622,0.0649,-0.1275,0.156
0.187070,-0.1223,-0.0239,-0.1627,0.205
0.197115,-0.0355,-0.0340,-0.0816,0.095
0.207576,-0.1054,-0.0343,0.0476,0.121
0.217864,0.1086,-0.0149,0.0592,0.125
0.227884,0.2353,-0.1133,0.0811,0.273
0.237278,0.4514,-0.1529,0.1620,0.503
0.253419,-0.5166,-0.3301,0.0773,0.618
0.258568,-0.1428,0.0910,0.0997,0.197
0.267391,-0.1032,-0.0270,0.0046,0.107
0.277955,0.0539,0.0706,-0.1892,0.209
0.287262,-0.2981,0.0899,-0.3346,0.457
0.297583,-0.2686,0.1194,-0.1191,0.317
0.307502,-0.1031,0.0509,0.0366,0.121
0.317003,-0.1340,-0.0370,0.1824,0.229
0.327021,-0.0770,-0.0369,0.2508,0.265
0.337115,-0.0886,-0.0664,0.1631,0.197
0.347024,-0.2179,-0.0371,0.0666,0.231
0.357467,-0.1712,-0.0275,0.0190,0.174
0.367131,-0.0858,-0.0766,-0.0387,0.121
0.377228,-0.0300,-0.1060,-0.0087,0.111
0.387067,0.3690,-0.1256,0.1582,0.421
0.398032,0.2697,-0.2335,0.2372,0.428
0.407815,-0.2785,-0.1651,0.0718,0.332
0.417224,-0.2194,0.0700,0.0629,0.239
0.427224,-0.1121,0.0307,0.0343,0.121
0.437205,-0.1228,0.0698,-0.0823,0.163
0.447439,-0.1436,0.0992,-0.1014,0.202
0.457622,0.0214,0.0600,-0.1306,0.145
0.467178,-0.0484,-0.0379,-0.0523,0.081
0.477622,-0.0103,-0.0967,-0.0132,0.098
0.487045,-0.0113,-0.1457,0.1432,0.205
0.497915,-0.0219,-0.1750,0.1528,0.233
0.511009,0.1050,-0.1260,0.1923,0.253
0.517472,0.0071,-0.1752,0.1344,0.221
0.527302,-0.0509,-0.1068,0.1354,0.180
0.538783,-0.0304,-0.0972,0.1073,0.148
0.547081,-0.0881,-0.1170,0.1185,0.188
