time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003228,-0.1468,0.0614,-0.0345,0.163
0.011591,-0.0884,0.1106,-0.1236,0.188
0.014578,-0.0593,0.1008,-0.1630,0.201
0.029327,-0.0301,0.0126,-0.0357,0.048
0.046656,-0.0792,-0.1050,0.1799,0.223
0.047773,-0.0401,-0.1933,0.2883,0.349
0.063018,-0.1088,-0.2229,0.2596,0.359
0.064576,-0.1386,-0.1936,0.2215,0.325
0.074545,-0.0803,-0.1055,0.1050,0.169
0.086143,-0.0223,0.0511,-0.0019,0.056
0.094571,0.0260,0.1196,-0.1871,0.224
0.104539,-0.0818,0.0998,-0.2154,0.251
0.114380,-0.0424,0.0801,-0.0871,0.126
0.124651,0.0263,-0.0278,0.0313,0.049
0.135469,-0.0416,-0.1456,0.1401,0.206
0.144516,-0.0801,-0.2143,0.2390,0.331
0.154354,-0.1480,-0.1850,0.2395,0.337
0.164461,-0.1182,-0.0870,0.1912,0.241
0.175078,-0.0592,-0.0087,0.0552,0.081
0.198508,-0.0788,0.0596,-0.0214,0.101
0.200051,-0.0981,0.0789,-0.1076,0.166
0.204682,0.0001,0.0884,-0.1544,0.178
0.214596,-0.0582,-0.0099,-0.0836,0.102
0.224403,-0.1653,-0.1377,0.0850,0.231
0.235073,-0.0472,-0.1869,0.1849,0.267
0.244365,-0.1352,-0.1577,0.2550,0.329
0.254756,-0.0176,-0.0697,0.0996,0.123
0.266029,-0.0961,-0.0111,-0.0356,0.103
0.274641,-0.0765,0.0377,-0.0737,0.113
0.286150,-0.0079,0.0276,-0.0429,0.052
0.295068,-0.0078,-0.0019,0.0663,0.067
0.304546,0.0709,-0.0904,0.1366,0.178
0.314200,-0.1240,-0.1396,0.1482,0.238
0.328026,-0.1034,-0.1497,0.1794,0.256
0.337061,-0.1320,-0.0911,0.0834,0.181
0.345002,-0.1020,-0.0325,0.0461,0.117
0.364963,-0.1114,0.0455,-0.0791,0.144
0.366170,-0.0619,0.0550,-0.1357,0.159
0.374501,-0.0028,0.0253,-0.0750,0.079
0.386769,-0.1590,-0.0729,0.1328,0.220
0.394748,-0.0704,-0.1516,0.2131,0.271
0.407120,-0.0998,-0.2108,0.1963,0.305
0.414984,-0.1685,-0.1816,0.2176,0.330
0.424742,-0.1985,-0.1428,0.1711,0.298
0.437231,-0.0427,0.0333,0.0460,0.071
0.444594,0.0835,0.1702,-0.2060,0.280
0.454458,0.1125,0.1600,-0.3408,0.393
0.464710,-0.0833,0.1206,-0.1921,0.242
0.474571,-0.0438,0.0714,-0.0536,0.099
0.485094,0.0447,-0.0660,0.0260,0.084
0.495052,0.0454,-0.1838,0.1448,0.238
0.504669,-0.2080,-0.2820,0.2928,0.457
0.514885,-0.2954,-0.2624,0.2347,0.460
0.524751,-0.1193,-0.0958,0.1467,0.212
0.537195,-0.0611,0.0511,-0.0581,0.099
0.544751,0.1147,0.0902,-0.1063,0.181
0.554405,-0.0123,0.0901,-0.1546,0.179
0.564561,0.0079,0.0901,-0.1643,0.188
0.575888,-0.0397,0.0313,-0.1548,0.163
0.587534,-0.0873,-0.0861,0.0012,0.123
0.594523,-0.1351,-0.1546,0.3139,0.375
0.607529,-0.0066,-0.2134,0.2744,0.348
0.614940,-0.0937,-0.2625,0.2846,0.398
