time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005041,-0.2527,-0.0272,0.0472,0.259
0.005733,-0.1740,-0.0077,-0.0989,0.200
0.012805,-0.0565,-0.0078,-0.1767,0.186
0.032760,-0.0368,-0.0667,-0.1082,0.132
0.034083,-0.0661,-0.0567,0.0575,0.104
0.047116,-0.1444,-0.0467,0.0664,0.166
0.053323,-0.1541,-0.0662,0.1147,0.203
0.061004,-0.0073,-0.0955,0.0945,0.135
0.070294,0.0514,-0.1249,0.0845,0.159
0.080185,-0.0558,-0.1445,0.1140,0.192
0.097256,-0.1530,-0.1052,0.1533,0.241
0.101941,-0.1131,-0.0759,0.1049,0.172
0.110594,-0.0832,-0.0271,0.0273,0.092
0.126338,-0.1709,0.0119,0.0379,0.175
0.129978,-0.1902,0.0216,-0.0591,0.200
0.141868,-0.0824,-0.0080,-0.0286,0.088
0.150769,-0.0728,-0.0474,0.0312,0.092
0.160467,0.0152,-0.0868,0.0617,0.108
0.170202,-0.0238,-0.0871,0.1022,0.136
0.180059,-0.1411,-0.0578,0.0249,0.154
0.190351,-0.1604,-0.0090,-0.0623,0.172
0.201262,-0.1605,-0.0090,-0.0816,0.180
0.210342,-0.1119,-0.0090,-0.1308,0.172
0.221424,0.0539,-0.0481,0.0546,0.091
0.230155,0.0047,-0.1069,0.1424,0.178
0.247326,-0.1226,-0.1167,0.1718,0.241
0.251356,-0.1323,-0.0972,0.0841,0.184
0.260509,-0.1618,-0.0385,0.0653,0.179
0.276309,-0.2503,0.0299,0.0072,0.252
0.280134,-0.1924,0.0493,-0.0996,0.222
0.290151,-0.0077,0.0296,-0.1283,0.132
0.302580,0.0301,-0.0391,-0.0397,0.063
0.310606,0.0194,-0.0783,0.0092,0.081
0.320156,-0.0790,-0.1077,0.0386,0.139
0.330184,-0.1088,-0.1175,0.0187,0.161
0.340375,-0.0015,-0.1174,0.1456,0.187
0.352984,-0.0704,-0.1173,0.1256,0.186
0.360351,-0.2567,-0.0290,0.0959,0.276
0.372158,-0.1495,0.0003,-0.0120,0.150
0.381979,0.0060,0.0003,-0.0217,0.023
0.394986,-0.0340,-0.0094,0.0273,0.045
0.405485,-0.1721,0.0002,0.0569,0.181
0.410294,-0.1339,-0.0488,0.0574,0.154
0.420546,0.0214,-0.1078,0.0678,0.129
0.430111,0.0203,-0.1472,0.0489,0.156
0.440621,0.0688,-0.1669,0.0298,0.183
0.451366,0.0980,-0.1571,0.0693,0.198
0.461293,-0.0091,-0.1277,0.1479,0.196
0.470130,-0.1455,-0.0199,0.1091,0.183
0.480109,-0.2330,0.0289,0.0512,0.240
0.490345,-0.0955,0.0482,0.0036,0.107
0.506538,-0.1447,-0.0598,-0.0343,0.160
0.510453,-0.1550,0.0477,-0.0135,0.163
0.536722,-0.2438,-0.0309,-0.0023,0.246
0.538165,-0.0195,-0.0213,0.0966,0.101
0.540541,-0.0207,-0.0608,0.0099,0.065
0.552202,-0.0020,-0.0414,0.0502,0.065
0.560420,-0.0811,-0.0318,-0.0562,0.104
0.570370,-0.1307,-0.0027,-0.0255,0.133
0.580445,-0.1020,-0.0225,-0.0341,0.110
0.590355,-0.0834,-0.0325,-0.0036,0.090
0.602132,-0.2217,-0.1111,0.0069,0.248
0.610364,-0.1645,-0.1602,-0.1497,0.274
0.621531,0.5295,0.1243,0.5939,0.805
0.629856,-0.2446,-0.3761,-0.4237,0.617
0.640380,-0.2741,0.1437,0.2716,0.412
0.657399,-0.2652,-0.1407,0.1542,0.337
0.660488,-0.1100,-0.0036,0.0867,0.140
0.686606,-0.0924,-0.0234,0.0093,0.096
0.688254,0.1117,0.0743,0.4127,0.434
0.691776,0.0322,-0.0735,-0.2104,0.225
0.702918,-0.2427,-0.0643,-0.0405,0.254
0.710285,-0.2242,-0.1530,-0.6461,0.701
0.722182,-0.4530,-0.0152,-0.0315,0.454
0.731328,0.4943,0.1136,1.2743,1.372
0.740405,-0.0463,-0.4264,-0.5551,0.701
0.752163,-0.0281,0.0050,0.5033,0.504
0.760314,0.0295,-0.1718,0.0350,0.178
0.771139,-0.0299,-0.0153,0.1351,0.139
0.781492,-0.1774,-0.0255,-0.0488,0.186
0.791936,-0.1487,0.0524,-0.1055,0.190
0.800556,-0.1204,0.0521,-0.1334,0.187
0.816673,-0.1118,0.0421,-0.0932,0.152
0.824705,-0.0838,-0.0070,-0.0728,0.111
0.830394,-0.0265,-0.0169,0.0255,0.040
0.840282,-0.0574,-0.0169,-0.0328,0.068
0.851483,-0.0980,-0.0562,0.0065,0.113
0.860336,-0.0991,-0.1248,0.1142,0.196
0.870579,-0.0416,-0.1249,0.0848,0.157
0.881142,0.0845,-0.1640,0.1138,0.217
0.890342,0.2702,-0.2915,0.1529,0.426
0.902130,-0.0035,-0.1247,0.2801,0.307
0.910323,-0.1593,-0.0954,0.1534,0.241
0.925751,-0.2073,0.0024,0.1249,0.242
0.930005,-0.0892,0.0707,-0.0596,0.128
0.945015,-0.2163,0.0704,-0.1657,0.281
0.950917,-0.3047,-0.0671,-0.2327,0.389
0.960820,0.0865,0.1190,0.0327,0.151
0.970857,-0.1201,-0.1162,-0.0167,0.168
0.980673,0.0755,-0.0476,0.0813,0.121
0.990051,0.0067,-0.1064,-0.0071,0.107
1.000799,-0.1201,-0.1651,0.0903,0.223
1.010445,0.0469,-0.0963,0.1192,0.160
1.020918,-0.0309,-0.0669,0.0603,0.095
1.030099,-0.0790,-0.0179,0.0015,0.081
1.040045,-0.0781,-0.0277,0.0310,0.088
1.050316,-0.0674,-0.0865,0.1391,0.177
1.060406,-0.0762,-0.1161,0.2378,0.275
1.074853,-0.0557,-0.1360,0.2100,0.256
1.080401,-0.2408,-0.1168,0.1731,0.319
