time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002534,-0.0668,-0.0121,0.0080,0.068
0.005685,-0.0083,-0.0222,-0.0296,0.038
0.015665,-0.0868,-0.0518,0.0008,0.101
0.026409,-0.0867,-0.1205,0.1583,0.217
0.035217,-0.0377,-0.1206,0.1980,0.235
0.045411,-0.0574,-0.0816,0.1106,0.149
0.055094,-0.0967,-0.0817,0.0526,0.137
0.065303,-0.1360,-0.0916,0.1514,0.223
0.075951,-0.0875,-0.0918,0.1327,0.184
0.085109,-0.0587,-0.0331,0.0553,0.087
0.095605,-0.0397,0.0256,-0.0417,0.063
0.105228,0.0088,0.0353,-0.0806,0.088
0.115512,-0.0012,0.0354,-0.1593,0.163
0.127338,-0.0110,-0.0035,-0.0232,0.026
0.135295,-0.0108,-0.1111,0.1711,0.204
0.145453,-0.0593,-0.1305,0.1405,0.201
0.155173,-0.1565,-0.1304,0.2670,0.336
0.165619,-0.0483,-0.1402,0.2077,0.255
0.179702,-0.0674,-0.0520,0.0906,0.124
0.185466,-0.0768,-0.0032,0.0424,0.088
0.196966,0.1001,0.0064,-0.0649,0.119
0.205729,0.0031,-0.0133,0.0823,0.083
0.215705,0.1124,-0.0428,-0.0155,0.121
0.225799,-0.0326,-0.0038,-0.0353,0.048
0.240673,-0.2065,-0.1410,0.3066,0.396
0.246408,-0.0282,-0.1903,0.2971,0.354
0.256118,-0.1637,-0.1711,0.2104,0.317
0.265901,-0.2797,-0.1913,0.3500,0.487
0.278601,-0.0732,-0.1430,0.2948,0.336
0.285747,-0.0042,-0.0753,0.1329,0.153
0.296654,-0.0722,-0.0371,-0.0287,0.086
0.305422,-0.0620,0.0110,0.0249,0.068
0.315620,-0.1790,0.0101,-0.1666,0.245
0.341231,-0.0418,-0.0003,-0.0549,0.069
0.342779,-0.0813,-0.0597,0.0562,0.115
0.346633,-0.1599,-0.1290,0.1477,0.253
0.356190,-0.1409,-0.1392,0.2092,0.288
0.365804,-0.0341,-0.0415,-0.0530,0.075
0.375578,-0.0057,0.0857,-0.2474,0.262
0.385697,-0.0162,0.1544,-0.2964,0.335
0.396803,-0.0070,0.1547,-0.2978,0.336
0.406011,-0.0367,0.0768,-0.2123,0.229
0.416377,-0.0662,-0.0695,0.0875,0.130
0.425733,-0.0272,-0.2060,0.2793,0.348
0.435688,-0.1055,-0.2151,0.2856,0.373
0.447024,-0.1743,-0.1950,0.4887,0.554
0.456037,0.0701,-0.0869,0.1346,0.175
0.465657,-0.0869,-0.0574,0.1148,0.155
0.476004,0.0207,-0.0476,-0.0122,0.053
0.485771,-0.0086,-0.0477,0.2134,0.219
0.497040,-0.0866,-0.0969,0.1752,0.218
0.505646,0.0610,-0.0777,0.1179,0.154
0.516308,0.0421,-0.0781,0.0806,0.120
0.525419,-0.1131,-0.0884,0.0726,0.161
0.536361,0.0942,-0.2457,0.1235,0.291
0.546042,-0.2469,0.0970,0.3993,0.479
0.556003,-0.1854,-0.0212,0.0873,0.206
0.565658,-0.1552,0.1156,-0.2439,0.311
0.576087,0.0412,0.1644,-0.3014,0.346
0.585842,0.0909,0.1742,-0.3311,0.385
0.598372,0.0729,0.0666,-0.1177,0.154
0.605429,0.1636,0.0179,0.0752,0.181
0.615874,0.2065,-0.0798,0.0326,0.224
0.625659,-0.0040,-0.1873,-0.0894,0.208
0.635742,-0.3909,-0.1867,0.2777,0.515
0.645681,-0.2302,-0.2745,0.2144,0.418
0.656086,-0.1974,-0.1661,0.2398,0.352
0.665643,0.1582,-0.1266,0.1191,0.235
0.675533,0.0345,0.0208,0.1939,0.198
0.685882,0.0981,-0.0573,0.1413,0.181
0.697186,-0.2104,0.0114,0.2069,0.295
0.706018,-0.1567,-0.0376,0.2249,0.277
0.715956,-0.3293,-0.1164,0.1858,0.396
0.725518,-0.3461,-0.1660,0.1482,0.411
0.736135,-0.1683,-0.2744,0.3074,0.445
0.748723,-0.0302,-0.3437,0.3692,0.505
0.756384,0.0885,-0.2954,0.4711,0.563
0.765848,-0.0861,-0.1101,0.1228,0.186
0.776831,-0.1918,0.1436,-0.2737,0.364
0.785795,-0.2009,0.2803,-0.5652,0.662
0.796541,-0.1026,0.3096,-0.6041,0.687
0.805395,0.0444,0.1336,-0.1361,0.196
0.817349,0.0446,0.0459,-0.2273,0.236
0.825652,0.0455,0.0175,-0.2036,0.209
0.835869,0.1159,-0.1283,0.1422,0.224
0.846141,0.2459,-0.2057,0.5372,0.626
0.856060,-0.1813,-0.2835,0.4538,0.565
0.867151,-0.2365,-0.1164,0.3420,0.432
0.875531,-0.1256,-0.0084,-0.0913,0.156
0.885839,-0.2113,0.1976,-0.2403,0.376
0.897645,-0.0815,0.1095,-0.2521,0.287
0.905641,-0.1384,0.0120,0.0677,0.155
0.916126,-0.0395,-0.1736,0.5446,0.573
0.925630,-0.7447,-0.2224,0.7492,1.080
0.935720,-0.1380,-0.3602,0.6343,0.742
0.946402,-0.3272,-0.2825,0.5025,0.663
0.955746,-0.4488,-0.0382,0.0773,0.457
0.965591,0.4068,0.2062,-0.5045,0.680
0.977029,0.7822,0.1868,-0.6594,1.040
0.985536,0.2906,0.2951,-0.8082,0.908
0.996880,0.4889,0.3843,-0.8534,1.056
1.005461,-0.7218,-0.0846,0.2433,0.766
1.016893,0.6642,-0.3774,-0.3245,0.830
1.025615,-1.7045,-0.6695,1.9767,2.695
1.035765,-0.6061,-0.7768,0.5909,1.149
1.047218,-0.2195,-0.2367,0.0993,0.338
1.056620,0.0976,0.0878,-0.1876,0.229
1.066715,0.0916,0.2555,-0.1604,0.315
1.075717,0.2722,0.3545,-0.4180,0.612
1.085655,0.0521,0.3460,-0.5014,0.611
1.097008,0.3911,0.1417,-0.3414,0.538
1.105639,0.3009,-0.0624,0.0819,0.318
1.115606,0.2524,-0.2178,0.3682,0.497
1.125589,-0.1272,-0.2559,0.5378,0.609
1.137350,-0.2518,-0.2258,0.4450,0.559
1.152092,-0.2005,-0.1570,0.3252,0.413
1.155591,-0.1597,-0.1080,0.3153,0.370
1.166235,0.0668,-0.0790,0.2678,0.287
1.176022,-0.3729,-0.1483,0.3194,0.513
1.185784,-0.8434,-0.1097,0.3717,0.928
1.196775,-0.3758,-0.2085,0.0531,0.433
1.205674,-0.3033,-0.1010,0.2046,0.380
1.217980,-0.2629,-0.0422,-0.0266,0.268
1.225689,0.3839,0.0069,-0.3860,0.544
1.235794,0.7973,0.0659,-0.3052,0.856
1.246711,0.1771,0.0661,-0.0204,0.190
1.255576,-0.2537,-0.0614,0.2054,0.332
1.265652,-0.4790,-0.1499,0.2162,0.546
1.275635,-0.8045,-0.1403,0.2182,0.845
1.285697,-0.5844,-0.1012,0.2308,0.636
1.300290,-0.2897,0.0655,0.2542,0.391
1.305760,0.0684,0.0070,-0.0549,0.088
1.315614,0.4156,-0.0806,0.0574,0.427
1.325894,0.9723,-0.0805,-0.2709,1.013
1.335648,0.8599,0.0563,-0.1585,0.876
1.347097,0.3131,-0.0033,0.0601,0.319
1.356587,-0.1523,-0.1808,0.0922,0.254
1.365845,-0.0979,-0.4465,0.0847,0.465
1.376971,-0.4076,-0.0648,0.3122,0.517
1.385631,-0.5606,-0.0655,0.1179,0.577
1.397254,-0.3631,0.0909,-0.1252,0.395
1.406379,-0.2163,0.1298,-0.2609,0.363
1.416854,-0.1780,0.1102,-0.0939,0.229
1.425795,0.2030,-0.0758,-0.0354,0.220
1.436047,0.0745,-0.1443,0.0917,0.186
1.447464,-0.4452,-0.1441,0.1886,0.505
1.457777,0.1907,-0.0556,-0.0178,0.199
1.466661,-0.3299,-0.0946,0.2167,0.406
1.475954,-0.0467,-0.1042,0.4613,0.475
1.485709,0.3440,-0.1729,0.0896,0.395
1.497340,-0.0966,-0.0456,0.2372,0.260
1.505941,-0.3213,-0.0852,0.0721,0.340
1.515895,-0.0473,-0.1542,0.1037,0.192
1.525616,0.1089,-0.1938,0.2923,0.367
1.536280,0.2364,-0.1747,0.2266,0.371
1.547051,0.2186,-0.0874,-0.0437,0.239
1.556122,-0.0034,0.0586,-0.1971,0.206
1.565769,0.1574,0.0775,-0.1753,0.248
1.575892,-0.0238,0.0670,-0.2131,0.225
1.585946,-0.2538,0.0371,-0.1641,0.304
1.598125,-0.2297,0.0173,-0.0182,0.231
1.605892,-0.1477,-0.0512,-0.1771,0.236
1.616416,-0.3016,0.0276,-0.1807,0.353
