time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005189,-0.0115,-0.0860,0.1217,0.149
0.006773,-0.0701,-0.0761,0.1019,0.145
0.016928,-0.0694,-0.0566,0.0532,0.104
0.032792,-0.1276,-0.0763,0.0044,0.149
0.041076,-0.2541,-0.0763,0.0238,0.266
0.047602,-0.1067,-0.0566,0.0333,0.125
0.057081,-0.1161,-0.0762,0.0917,0.166
0.066318,-0.0962,-0.0565,0.1111,0.157
0.077144,-0.1056,-0.0076,0.0330,0.111
0.086407,-0.2227,-0.0372,-0.0840,0.241
0.097055,-0.1148,-0.0078,-0.0248,0.118
0.105998,-0.1637,-0.0471,-0.0245,0.172
0.116656,-0.1344,-0.0668,0.0639,0.163
0.126128,-0.1737,-0.1159,0.0347,0.212
0.138085,-0.0762,-0.0865,0.0352,0.121
0.146094,0.1492,-0.0473,0.0939,0.183
0.157958,-0.0945,-0.0474,-0.0036,0.106
0.166155,-0.2205,-0.0181,-0.0330,0.224
0.181286,-0.1408,-0.0083,-0.0331,0.145
0.187576,-0.1399,-0.0181,-0.0233,0.143
0.197201,-0.1095,-0.0574,0.0356,0.129
0.205941,-0.1674,-0.0869,0.1043,0.216
0.218344,-0.2152,-0.0871,0.1246,0.263
0.226166,-0.1851,-0.0775,0.1155,0.232
0.239275,-0.1654,-0.0681,0.0981,0.204
0.246120,-0.1750,-0.0881,0.0898,0.216
0.257310,-0.0578,-0.0593,0.0442,0.094
0.265934,-0.1166,-0.0892,0.0367,0.151
0.277340,-0.1853,-0.0900,0.0305,0.208
0.287801,-0.1561,-0.0807,0.0231,0.177
0.296877,-0.1175,-0.0616,0.0061,0.133
0.305883,-0.0393,-0.0325,0.0275,0.058
0.318298,0.1760,-0.0330,0.0497,0.186
0.331527,0.0984,-0.0530,0.0709,0.132
0.337317,-0.2423,-0.0733,-0.0048,0.253
0.346227,-0.2701,-0.0246,-0.1013,0.290
0.357148,-0.0631,-0.0250,0.0474,0.083
0.365885,-0.0427,-0.1626,0.3625,0.400
0.377038,0.3708,-0.0948,-0.0945,0.394
0.387363,-0.5984,0.1593,-0.4930,0.792
0.397824,-0.6255,-0.0856,-0.0140,0.631
0.406747,0.4804,0.1299,-0.4835,0.694
0.417682,-0.2645,-0.0165,0.0135,0.265
0.426259,-0.1467,0.0622,-0.0570,0.169
0.437802,-0.0786,-0.0155,0.0578,0.099
0.446032,0.0977,-0.0348,0.1249,0.162
0.457357,0.0196,-0.1228,0.2412,0.271
0.466143,-0.1067,-0.1425,0.0747,0.193
0.477100,-0.3208,-0.1035,0.3402,0.479
0.488757,-0.2024,-0.2900,0.1255,0.375
0.497136,-0.2021,-0.1435,0.0890,0.263
0.505954,-0.0352,-0.0360,0.0120,0.052
0.516624,-0.2404,0.1103,0.0450,0.268
0.526046,-0.3486,0.0607,-0.3839,0.522
0.537988,-0.1146,0.0606,-0.0199,0.131
0.545959,0.4037,0.0212,0.1870,0.445
0.558002,-0.0760,-0.1659,0.2890,0.342
0.566060,-0.2807,-0.0785,0.5774,0.647
0.577138,-0.1722,-0.2079,0.4689,0.541
0.591468,-0.2113,0.0257,0.7223,0.753
0.597541,0.0337,-0.2032,0.6117,0.645
0.606416,-0.8680,-0.2354,0.0669,0.902
0.616665,-0.6830,-0.1712,0.3641,0.793
0.625968,0.4310,0.3748,-0.2173,0.611
0.637868,0.0256,-0.2675,0.4364,0.513
0.646090,-0.1326,-0.0849,0.6227,0.642
0.656639,-0.1449,-0.0809,0.5857,0.609
0.666021,-0.2351,-0.2235,0.5754,0.661
0.676983,-0.2971,-0.1626,0.2464,0.419
0.687926,-0.2117,0.0282,-0.0962,0.234
0.696755,-0.4028,-0.3029,0.2039,0.544
0.706456,0.1320,-0.0429,0.1839,0.230
0.718408,0.3496,0.1254,-0.5392,0.655
0.726277,0.0235,0.0429,-0.7683,0.770
0.741162,-0.1264,-0.0708,-0.4946,0.515
0.746254,-0.0008,-0.0349,-0.4140,0.415
0.757058,0.0554,0.0884,-0.7192,0.727
0.766605,-0.2199,0.1646,-1.0770,1.111
0.776032,-0.4565,0.1333,-0.9562,1.068
0.788332,-0.3117,0.0738,-0.4901,0.585
0.797868,-0.2670,0.0933,-0.2914,0.406
0.806579,-0.2213,0.0149,-0.1637,0.276
0.816844,0.0568,0.0741,-0.4579,0.467
0.827543,0.1509,0.0157,-0.2934,0.330
0.838701,0.2151,0.0169,0.2002,0.294
0.845971,0.0172,0.0273,0.2159,0.218
0.857361,-0.3078,0.0770,0.0356,0.319
0.866653,-0.6328,-0.0696,0.1317,0.650
0.877873,-0.4219,-0.3926,0.3347,0.666
0.890133,-0.3974,-0.5686,1.1076,1.307
0.897445,-0.0833,-0.2154,0.7759,0.810
0.906286,0.2431,0.0392,0.2899,0.380
0.916856,0.4496,0.2344,-0.5535,0.751
0.925881,1.5238,0.0474,-1.0671,1.861
0.938505,0.2406,0.0175,0.4264,0.490
0.946307,0.2920,-0.0512,0.4167,0.511
0.957793,0.7496,-0.1991,0.4298,0.887
0.965976,0.7373,-0.3275,0.2666,0.850
0.976865,-0.0899,-0.3093,0.4474,0.551
0.986062,-0.9709,-0.1042,0.5675,1.129
0.996640,-0.8501,-0.3213,0.2486,0.942
1.006154,-0.2758,0.0015,-0.0222,0.277
1.016865,-0.0334,0.1080,-0.2993,0.320
1.026183,-0.0875,0.4504,-1.3639,1.439
1.039249,-0.4035,0.4303,-1.4998,1.612
1.045874,0.5711,0.4012,-1.5620,1.711
1.057638,0.8644,0.3046,-1.2219,1.527
1.066030,0.5019,0.0904,-0.4905,0.708
1.077117,0.6589,-0.1120,0.6478,0.931
1.086010,-0.3538,-0.2768,0.3858,0.592
1.097058,-1.8474,-0.6661,-2.7289,3.362
1.107074,-0.8247,0.2120,1.1462,1.428
1.118246,-0.4415,0.0526,1.2257,1.304
1.126194,-0.8776,-0.2095,-1.0366,1.374
1.139410,-0.2660,-0.2722,-0.1903,0.426
1.146091,-0.6663,-0.4637,0.7725,1.121
1.157820,-0.9111,-0.4179,0.6067,1.172
1.166091,-0.3449,-0.0706,0.4072,0.538
1.177109,-0.0965,-0.0158,0.8273,0.833
1.186381,0.0159,-0.0224,1.1538,1.154
1.197663,0.1054,-0.0390,0.3640,0.381
1.205942,0.6982,0.1585,-0.1526,0.732
1.218306,0.6357,0.0235,0.2477,0.683
1.225999,1.0092,0.0248,0.7305,1.246
1.238945,-0.2288,0.0352,0.1966,0.304
1.246416,-1.1633,-0.1118,0.2837,1.203
1.257367,-0.6203,0.1529,0.3221,0.715
1.266284,0.1038,0.1818,0.2762,0.347
1.277927,-0.5360,-0.1925,-0.3808,0.685
1.286093,-0.0767,-0.1934,-0.2776,0.347
