time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004815,-0.0749,-0.0419,-0.0459,0.097
0.018063,-0.1425,-0.0992,0.0557,0.182
0.018854,-0.2001,-0.2741,0.2748,0.437
0.038260,-0.1799,-0.3608,0.3964,0.565
0.039009,-0.0324,-0.3103,0.4104,0.516
0.047945,-0.0320,-0.2110,0.3173,0.382
0.059466,-0.1392,-0.0430,0.1459,0.206
0.068569,-0.1779,0.0462,-0.0838,0.202
0.078347,-0.2270,0.0474,-0.0976,0.252
0.089873,-0.2376,0.0192,0.0258,0.240
0.098183,-0.0428,-0.0385,0.1010,0.116
0.108168,-0.0049,-0.0964,0.1379,0.168
0.118243,-0.0449,-0.1449,0.1851,0.239
0.128165,-0.0749,-0.2327,0.2232,0.331
0.140369,-0.1636,-0.2227,0.2030,0.343
0.148480,-0.0859,-0.1244,0.1339,0.202
0.158411,0.0213,-0.0260,0.0058,0.034
0.168348,0.1682,0.1311,-0.0737,0.226
0.179780,0.1399,0.2000,-0.1634,0.294
0.201457,0.0243,0.1805,-0.2628,0.320
0.202615,-0.1201,0.0530,-0.1760,0.220
0.208397,-0.1571,-0.1037,0.0382,0.192
0.218782,-0.1350,-0.2212,0.2912,0.390
0.228472,-0.2503,-0.3193,0.2604,0.482
0.240302,-0.1996,-0.2996,0.4358,0.565
0.247997,-0.2770,-0.2703,0.2396,0.455
0.258446,-0.1196,-0.1038,0.2007,0.256
0.268251,0.5863,0.0724,-0.2591,0.645
0.278585,-0.3340,0.1996,-0.1706,0.425
0.290953,-0.1073,0.1504,-0.1805,0.258
0.298401,0.0306,0.1701,-0.2987,0.345
0.308646,-0.0074,0.0918,-0.1822,0.204
0.318180,-0.0551,0.0432,-0.1257,0.144
0.336938,-0.1417,-0.0738,-0.0698,0.174
0.338794,-0.2285,-0.1906,0.0736,0.307
0.348244,-0.2768,-0.2974,0.3146,0.514
0.358707,-0.2474,-0.2865,0.3402,0.509
0.368653,-0.0717,-0.2070,0.2975,0.369
0.378776,-0.0431,-0.0982,0.2066,0.233
0.390896,-0.1026,-0.1367,0.1849,0.252
0.398628,-0.1228,-0.0382,0.1737,0.216
0.408762,-0.1333,-0.0674,0.0261,0.152
0.418356,-0.0362,-0.0279,0.1237,0.132
0.428193,-0.1548,-0.0180,-0.0917,0.181
0.441151,0.1183,0.0411,-0.0726,0.145
0.448492,0.0591,0.0611,-0.1227,0.149
0.458499,-0.1562,0.0025,-0.0355,0.160
0.468615,-0.2736,-0.0953,0.1008,0.307
0.478220,-0.1955,-0.2324,0.2183,0.374
0.488327,-0.0299,-0.3008,0.6200,0.690
0.498266,-0.1778,-0.3208,-0.2510,0.444
0.508206,-0.0511,-0.0162,0.0316,0.062
0.518844,-0.1207,0.1026,-0.1683,0.231
0.528759,0.0551,0.2410,0.1715,0.301
0.538370,0.0451,0.2606,-0.6716,0.722
0.548831,0.1929,0.1334,0.5134,0.564
0.558272,-0.1286,-0.0439,0.3486,0.374
0.568174,-0.1063,-0.1638,0.1980,0.278
0.578386,-0.0551,-0.1954,0.0183,0.204
0.588212,-0.0333,-0.1385,-0.1523,0.209
0.598579,-0.0898,-0.0516,-0.2176,0.241
0.611096,-0.1956,0.0261,-0.3437,0.396
0.619129,0.0214,0.0261,-0.1090,0.114
0.628618,-0.0258,-0.0814,-0.0324,0.091
0.638433,-0.0238,-0.1791,0.3868,0.427
0.648328,-0.0999,-0.4146,0.3761,0.569
0.659960,-0.3231,-0.5425,0.8863,1.088
0.668226,-0.3999,-0.6315,0.6333,0.980
0.679357,-0.1544,-0.3485,0.1965,0.429
0.688270,0.1100,-0.1137,-0.0171,0.159
0.698522,0.1689,0.1311,-0.5651,0.604
0.708709,0.1304,0.3476,-0.6859,0.780
0.718354,0.0438,0.4668,-1.1236,1.217
0.730810,0.0554,0.4795,-1.8407,1.903
0.737986,-0.0907,0.4946,-0.5848,0.771
0.749897,-0.0122,0.0900,2.4399,2.442
0.758715,-0.1173,-0.2614,-0.1162,0.309
0.768448,-0.0652,-0.3389,0.3299,0.477
0.778352,-0.4054,-0.6122,1.0596,1.289
0.788476,-0.4326,-0.7100,1.2242,1.480
0.798357,-0.4023,-0.6322,1.0790,1.314
0.808173,-0.0887,-0.3299,0.6630,0.746
0.818270,-0.1186,-0.1752,0.3374,0.398
0.828312,-0.1190,0.0674,-0.0851,0.161
0.838265,0.3219,0.4080,-0.6448,0.828
0.848671,-0.0594,0.4158,-0.8639,0.961
0.858206,0.0992,0.5616,-1.0564,1.201
0.868894,-0.0555,0.2573,-0.5073,0.572
0.878591,0.0156,0.1206,-0.1280,0.177
0.888239,-0.1383,-0.1534,0.1433,0.251
0.900306,-0.3219,-0.2999,0.6987,0.826
0.908580,-0.0944,-0.3784,1.0019,1.075
0.918314,-0.2590,-0.4288,0.4955,0.705
0.928801,-0.1989,-0.4109,0.9914,1.091
0.938284,0.0275,-0.3549,0.1769,0.397
0.948680,0.0584,-0.1422,0.0103,0.154
0.958903,-0.3123,-0.0471,0.2651,0.412
0.968348,-0.1637,0.0276,-0.3310,0.370
0.978502,-0.3295,-0.0048,0.0912,0.342
0.988529,-0.1924,-0.1157,0.2393,0.328
0.998290,-0.0557,-0.0896,0.1045,0.148
1.008586,-0.0267,-0.1322,0.2050,0.245
1.018443,0.1202,-0.0083,-0.1841,0.220
1.029110,0.7681,0.0175,-0.1324,0.780
1.038445,0.0380,0.0035,0.0958,0.103
1.048142,-0.1415,-0.1579,0.1089,0.238
1.059495,-0.4288,-0.3490,0.3780,0.670
1.068641,-0.5113,-0.5305,0.7563,1.056
1.078532,-0.5461,-0.6046,0.8333,1.165
1.088313,-0.3774,-0.6202,0.9912,1.229
1.098410,-0.7785,-0.4503,0.2217,0.926
1.109973,-0.6633,0.1616,0.1764,0.705
1.118318,0.3297,0.9120,-0.2722,1.007
1.129288,2.1649,0.4845,-1.4998,2.678
1.138287,0.4810,0.7644,-1.7092,1.933
1.148246,-0.4737,0.2413,-0.5326,0.753
1.162504,-0.3200,-0.0460,-0.4064,0.519
1.168335,-0.7279,-0.5682,0.1797,0.941
1.179792,-0.8609,-0.8452,0.9715,1.549
1.189725,-0.6164,-0.8564,1.0952,1.521
1.198366,-1.1093,-0.6133,0.9777,1.601
1.209355,-0.8911,-0.1055,0.2648,0.936
1.218295,0.0480,0.3437,-0.7505,0.827
1.228152,1.2604,0.6667,-0.9268,1.701
1.238149,1.0172,0.8721,-0.9986,1.671
1.248159,0.5443,0.6072,-1.1440,1.405
1.259602,-0.5126,0.6272,-0.8623,1.183
1.269944,-0.5505,0.1283,-0.7797,0.963
1.278403,-0.5912,-0.0850,0.1525,0.616
1.288349,-0.2604,-0.6413,0.7510,1.021
1.298514,-0.6753,-0.7871,2.2384,2.467
1.312330,-0.5804,-0.4940,0.4499,0.885
1.318752,0.0895,-0.1912,0.1742,0.274
1.328552,0.0336,0.1513,-0.2505,0.295
1.338290,-0.0402,0.4254,-0.5197,0.673
1.348414,0.2582,0.3469,-0.5753,0.720
1.359688,0.2140,0.3668,-0.5930,0.729
1.368417,0.3865,0.2206,-0.2118,0.493
1.378384,0.1879,-0.0923,0.0606,0.218
1.388143,-0.5585,-0.0329,0.2454,0.611
1.398480,-0.5006,-0.2285,0.2632,0.610
1.409895,-0.3273,-0.1986,-0.1191,0.401
1.418335,-0.1352,-0.1291,0.3701,0.415
1.428628,0.2426,-0.1382,0.2326,0.363
1.438134,0.2294,-0.0791,0.2337,0.337
1.448124,-0.1447,-0.0399,0.1463,0.210
1.459841,-0.0573,-0.0793,0.0399,0.106
1.468381,-0.1763,-0.1089,0.0510,0.213
1.480417,-0.1484,-0.1482,0.2682,0.340
1.488162,0.0364,-0.1682,0.1333,0.218
1.498300,0.0550,-0.1098,-0.0209,0.125
1.510146,-0.0726,-0.0318,0.1379,0.159
1.518189,0.0155,0.0166,-0.0854,0.088
1.528806,0.0748,0.0749,-0.1621,0.194
1.538282,0.1545,0.1432,-0.3084,0.373
1.548411,-0.0197,0.1038,-0.1914,0.219
1.560424,-0.0269,-0.0138,-0.1438,0.147
1.568206,-0.0533,-0.1216,0.0403,0.139
