time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003133,-0.2280,0.0719,-0.0760,0.251
0.011265,-0.3036,0.0914,-0.0559,0.322
0.032510,-0.2330,0.0521,-0.0556,0.245
0.033295,-0.0750,0.0129,-0.0262,0.080
0.040888,-0.0056,-0.0164,-0.0068,0.019
0.051409,-0.0143,-0.0556,0.0029,0.057
0.061986,-0.1308,-0.0458,0.0126,0.139
0.072194,-0.2180,0.0032,0.0318,0.220
0.080692,-0.2274,-0.0064,0.0311,0.230
0.090877,-0.1885,-0.0259,0.0303,0.193
0.100657,-0.1207,-0.0454,0.0688,0.146
0.111036,-0.0728,-0.0649,0.1270,0.160
0.121403,-0.0252,-0.1041,0.1367,0.174
0.131026,0.0127,-0.1139,0.0881,0.145
0.140823,0.0901,-0.1043,0.0399,0.143
0.150769,-0.0082,-0.0652,0.0506,0.083
0.161011,-0.1062,0.0032,0.0222,0.109
0.170944,-0.1944,0.0423,-0.0261,0.201
0.181502,-0.1849,0.0717,-0.0356,0.201
0.191327,-0.1467,0.0226,-0.0944,0.176
0.200740,-0.0108,-0.0557,-0.0260,0.062
0.211100,0.0566,-0.1144,0.0812,0.151
0.222117,-0.0029,-0.1241,0.1591,0.202
0.230877,-0.0424,-0.1143,0.1199,0.171
0.241485,-0.0621,-0.0457,0.0515,0.093
0.250749,-0.0818,-0.0163,-0.0661,0.106
0.260884,-0.0623,0.0131,-0.0960,0.115
0.271713,-0.0724,-0.0161,-0.0377,0.083
0.280812,-0.0432,-0.0650,0.0398,0.088
0.291278,0.0251,-0.1335,0.1860,0.230
0.300875,-0.0139,-0.1334,0.1561,0.206
0.311500,-0.0920,-0.0550,0.0972,0.145
0.324389,-0.0918,-0.0158,0.0091,0.094
0.331076,-0.1211,0.0331,-0.0199,0.127
0.341419,-0.1408,0.0036,-0.0099,0.141
0.350921,-0.1608,-0.0061,0.0393,0.166
0.360913,-0.1615,-0.0257,0.0787,0.181
0.373094,-0.0645,-0.0748,0.0689,0.120
0.382529,0.0516,-0.1042,0.1476,0.188
0.392188,0.0313,-0.1142,0.0307,0.122
0.401245,0.0311,-0.0456,0.0607,0.082
0.411301,-0.0175,-0.0654,0.0127,0.069
0.426007,-0.0169,-0.0263,0.0333,0.046
0.431330,-0.0259,-0.0657,0.1225,0.141
0.442690,-0.1033,-0.0659,0.0846,0.149
0.451473,-0.1808,-0.0270,0.0763,0.198
0.461300,-0.1411,-0.0076,0.0387,0.147
0.474119,-0.0134,-0.1354,0.0406,0.142
0.481350,-0.0623,0.0505,-0.0750,0.110
0.492308,-0.3167,0.0698,-0.3084,0.448
0.501030,-0.2582,0.0894,-0.1419,0.308
0.512257,-0.2201,0.0504,0.0821,0.240
0.521090,-0.0946,-0.0082,0.1109,0.146
0.531799,0.0499,-0.1259,0.0426,0.142
0.542494,0.2343,-0.1358,-0.0157,0.271
0.551018,0.0179,-0.1063,0.0525,0.120
0.561786,-0.0112,-0.0376,-0.3990,0.401
0.571219,-0.0105,-0.1547,-0.1183,0.195
0.581583,-0.2449,-0.1145,0.6699,0.722
0.591094,-0.1763,0.0132,0.4328,0.468
0.601157,0.0096,-0.1829,0.2077,0.277
0.611509,-0.5197,-0.0358,0.6782,0.855
0.621336,-0.4425,0.1498,0.3391,0.577
0.631201,-0.1713,-0.0574,0.1805,0.255
0.641133,0.3442,-0.0980,-0.4579,0.581
0.650969,0.2242,-0.2165,-0.2175,0.380
0.662280,0.1938,0.0477,-0.1069,0.226
0.671384,-0.1687,-0.0900,-0.0155,0.192
0.681162,0.0763,-0.0414,-0.1300,0.156
0.692806,0.1352,0.0756,-0.2741,0.315
0.700989,-0.0399,0.0263,-0.2331,0.238
0.711158,-0.0184,0.0067,-0.0666,0.069
0.724254,-0.0935,-0.0813,-0.0182,0.125
0.731346,-0.0717,-0.1204,0.0496,0.149
0.741332,0.0676,-0.1987,0.1663,0.268
0.750994,0.0994,-0.2182,0.3318,0.409
0.761380,-0.0445,-0.1495,0.2825,0.323
0.771751,-0.1979,0.0268,-0.0595,0.208
0.781446,-0.5184,0.1346,-0.1965,0.570
0.791068,-0.3307,0.1054,-0.2669,0.438
0.801359,0.1594,0.0863,0.0830,0.199
0.811180,0.0030,-0.0113,0.4631,0.463
0.820920,0.0828,-0.2077,0.5140,0.561
0.831090,0.1236,-0.1793,0.2161,0.307
0.844157,0.2743,-0.1411,-0.4344,0.533
0.851341,0.1630,-0.1806,-0.1582,0.290
0.861535,0.4262,-0.2292,-0.0917,0.493
0.871091,0.7805,-0.1700,-0.1233,0.808
0.881032,0.4917,-0.2086,-0.4311,0.686
0.891612,0.5404,-0.1189,-0.0664,0.557
0.901959,0.4075,-0.2348,-0.3901,0.611
0.911499,-0.2332,0.4635,-0.3627,0.633
0.920922,-0.8714,1.0745,-0.8098,1.603
0.932648,1.0934,0.8918,-0.9475,1.700
0.941909,1.9687,0.2791,0.6933,2.106
0.951103,0.8092,-0.0689,0.4449,0.926
0.961391,-0.4000,-0.1720,0.1321,0.455
0.971013,-1.2665,-0.4120,-0.0921,1.335
