
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.038348,0.0000,0.0000,0.0000,-0.2725,0.3480,-0.5872,0.0000,0.0000,0.0000,
0.040027,0.0000,0.0000,0.0000,-0.0034,-0.0271,0.0003,0.0000,0.0000,0.0000,
0.041044,0.1346,0.9908,-0.0097,-0.0034,-0.0271,0.0003,0.0000,0.0000,0.0000,
0.041629,0.1346,0.9908,-0.0097,-0.0034,-0.0271,0.0003,0.0110,0.0418,0.0071,
0.062577,0.1346,0.9908,-0.0097,0.4770,-0.0697,-0.0169,0.0110,0.0418,0.0071,
0.080045,0.1346,0.9908,-0.0097,0.0329,-0.0850,0.1256,0.0110,0.0418,0.0071,
0.102377,0.1346,0.9908,-0.0097,0.0480,-0.0507,-0.2899,0.0110,0.0418,0.0071,
0.107241,0.1352,0.9830,-0.0394,0.0480,-0.0507,-0.2899,0.0110,0.0418,0.0071,
0.108185,0.1352,0.9830,-0.0394,0.0480,-0.0507,-0.2899,0.0147,0.0088,0.0076,
0.119826,0.1352,0.9830,-0.0394,0.0157,-0.0472,-0.0866,0.0147,0.0088,0.0076,
0.140030,0.1352,0.9830,-0.0394,0.1253,0.1057,-0.1172,0.0147,0.0088,0.0076,
0.161416,0.1352,0.9830,-0.0394,0.0217,0.0902,-0.0204,0.0147,0.0088,0.0076,
0.173699,0.1579,0.9839,-0.0018,0.0217,0.0902,-0.0204,0.0147,0.0088,0.0076,
0.174919,0.1579,0.9839,-0.0018,0.0217,0.0902,-0.0204,0.0296,0.0024,0.0518,
0.180695,0.1579,0.9839,-0.0018,0.1538,-0.0727,0.1462,0.0296,0.0024,0.0518,
0.200106,0.1579,0.9839,-0.0018,-0.0373,-0.0997,-0.0332,0.0296,0.0024,0.0518,
0.219920,0.1579,0.9839,-0.0018,-0.0319,0.0066,-0.0908,0.0296,0.0024,0.0518,
0.240158,0.1760,0.9870,-0.0442,-0.0319,0.0066,-0.0908,0.0296,0.0024,0.0518,
0.242336,0.1760,0.9870,-0.0442,-0.0319,0.0066,-0.0908,0.0163,0.0498,0.0082,
0.243323,0.1760,0.9870,-0.0442,0.2818,-0.0056,-0.1111,0.0163,0.0498,0.0082,
0.263682,0.1760,0.9870,-0.0442,0.0156,0.0002,-0.0420,0.0163,0.0498,0.0082,
0.280829,0.1760,0.9870,-0.0442,-0.1917,0.0190,0.3619,0.0163,0.0498,0.0082,
0.299833,0.1760,0.9870,-0.0442,0.4419,-0.0891,0.0858,0.0163,0.0498,0.0082,
0.306053,0.1737,1.0029,-0.0277,0.4419,-0.0891,0.0858,0.0163,0.0498,0.0082,
0.307765,0.1737,1.0029,-0.0277,0.4419,-0.0891,0.0858,0.0328,0.0823,-0.0147,
0.320692,0.1737,1.0029,-0.0277,-0.0499,-0.0680,0.1438,0.0328,0.0823,-0.0147,
0.340842,0.1737,1.0029,-0.0277,-0.2279,-0.0500,0.1640,0.0328,0.0823,-0.0147,
0.360398,0.1737,1.0029,-0.0277,0.0544,-0.0788,-0.3663,0.0328,0.0823,-0.0147,
0.371836,0.1441,0.9634,-0.0462,0.0544,-0.0788,-0.3663,0.0328,0.0823,-0.0147,
0.374353,0.1441,0.9634,-0.0462,0.0544,-0.0788,-0.3663,-0.0290,0.0088,-0.0073,
0.381694,0.1441,0.9634,-0.0462,-0.0511,-0.0593,-0.2091,-0.0290,0.0088,-0.0073,
0.400296,0.1441,0.9634,-0.0462,-0.2994,-0.1488,0.1001,-0.0290,0.0088,-0.0073,
0.420862,0.1441,0.9634,-0.0462,0.7551,0.0688,0.0388,-0.0290,0.0088,-0.0073,
0.438690,0.1913,0.9872,0.0041,0.7551,0.0688,0.0388,-0.0290,0.0088,-0.0073,
0.441052,0.1913,0.9872,0.0041,0.7551,0.0688,0.0388,-0.0620,-0.0535,-0.1260,
0.442451,0.1913,0.9872,0.0041,0.2503,0.0003,0.3093,-0.0620,-0.0535,-0.1260,
0.460578,0.1913,0.9872,0.0041,0.0827,-0.0114,0.0770,-0.0620,-0.0535,-0.1260,
0.480295,0.1913,0.9872,0.0041,0.1622,-0.0150,-0.3515,-0.0620,-0.0535,-0.1260,
0.500334,0.1913,0.9872,0.0041,0.1698,0.1094,-0.1238,-0.0620,-0.0535,-0.1260,
0.503622,0.1661,0.9987,-0.0490,0.1698,0.1094,-0.1238,-0.0620,-0.0535,-0.1260,
0.505240,0.1661,0.9987,-0.0490,0.1698,0.1094,-0.1238,-0.1471,-0.1120,-0.2489,
0.520134,0.1661,0.9987,-0.0490,0.5138,0.1827,-0.3229,-0.1471,-0.1120,-0.2489,
0.540149,0.1661,0.9987,-0.0490,1.0054,0.3424,0.2068,-0.1471,-0.1120,-0.2489,
0.560484,0.1661,0.9987,-0.0490,-0.1933,0.1145,0.4287,-0.1471,-0.1120,-0.2489,
0.570064,0.1081,0.9790,-0.0268,-0.1933,0.1145,0.4287,-0.1471,-0.1120,-0.2489,
0.572417,0.1081,0.9790,-0.0268,-0.1933,0.1145,0.4287,-0.0950,-0.0785,-0.5199,
0.581619,0.1081,0.9790,-0.0268,-0.0298,-0.0364,-0.1801,-0.0950,-0.0785,-0.5199,
0.600190,0.1081,0.9790,-0.0268,0.1153,0.0683,-0.0118,-0.0950,-0.0785,-0.5199,
