
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.040680,-0.1455,0.9906,0.0831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.041481,-0.1455,0.9906,0.0831,0.0000,0.0000,0.0000,-0.0054,0.0155,-0.0360,
0.041869,-0.1455,0.9906,0.0831,0.2402,-0.2394,0.2234,-0.0054,0.0155,-0.0360,
0.047192,-0.1455,0.9906,0.0831,0.2402,-0.2394,0.2234,-0.0054,0.0155,-0.0360,
0.068511,-0.1455,0.9906,0.0831,0.0383,-0.1857,-0.0131,-0.0054,0.0155,-0.0360,
0.086834,-0.1396,0.9751,0.1092,0.0383,-0.1857,-0.0131,-0.0054,0.0155,-0.0360,
0.088443,-0.1396,0.9751,0.1092,0.0383,-0.1857,-0.0131,-0.0448,0.0320,0.0550,
0.090009,-0.1396,0.9751,0.1092,0.6032,-0.0424,0.3642,-0.0448,0.0320,0.0550,
0.108528,-0.1396,0.9751,0.1092,0.7670,0.3308,0.3587,-0.0448,0.0320,0.0550,
0.128902,-0.1396,0.9751,0.1092,0.1670,0.1038,0.0058,-0.0448,0.0320,0.0550,
0.148205,-0.1396,0.9751,0.1092,-0.4527,-0.1424,-0.1994,-0.0448,0.0320,0.0550,
0.152157,-0.2291,0.9610,0.0620,-0.4527,-0.1424,-0.1994,-0.0448,0.0320,0.0550,
0.153474,-0.2291,0.9610,0.0620,-0.4527,-0.1424,-0.1994,-0.0512,0.0113,0.0528,
0.170573,-0.2291,0.9610,0.0620,-0.2594,-0.1430,-0.3454,-0.0512,0.0113,0.0528,
0.188742,-0.2291,0.9610,0.0620,0.4650,-0.0284,0.4173,-0.0512,0.0113,0.0528,
0.208670,-0.2291,0.9610,0.0620,0.6137,0.3159,0.2419,-0.0512,0.0113,0.0528,
0.218423,-0.1148,1.0252,0.0615,0.6137,0.3159,0.2419,-0.0512,0.0113,0.0528,
0.220654,-0.1148,1.0252,0.0615,0.6137,0.3159,0.2419,-0.0304,0.0278,-0.0291,
0.228304,-0.1148,1.0252,0.0615,0.0387,0.2833,-0.4763,-0.0304,0.0278,-0.0291,
0.249317,-0.1148,1.0252,0.0615,-0.4943,-0.2777,-0.0507,-0.0304,0.0278,-0.0291,
0.268964,-0.1148,1.0252,0.0615,-0.2237,-1.1476,0.1938,-0.0304,0.0278,-0.0291,
0.284496,-0.2111,1.0237,0.1497,-0.2237,-1.1476,0.1938,-0.0304,0.0278,-0.0291,
0.286861,-0.2111,1.0237,0.1497,-0.2237,-1.1476,0.1938,-0.0363,0.0549,0.0507,
0.288456,-0.2111,1.0237,0.1497,-0.6268,0.3822,0.4606,-0.0363,0.0549,0.0507,
0.308714,-0.2111,1.0237,0.1497,-0.0322,-0.0009,0.1456,-0.0363,0.0549,0.0507,
0.328692,-0.2111,1.0237,0.1497,-0.1439,0.3114,-0.6166,-0.0363,0.0549,0.0507,
0.349280,-0.2111,1.0237,0.1497,0.2290,0.3893,-0.0440,-0.0363,0.0549,0.0507,
0.352811,-0.1418,1.0107,0.1074,0.2290,0.3893,-0.0440,-0.0363,0.0549,0.0507,
0.354273,-0.1418,1.0107,0.1074,0.2290,0.3893,-0.0440,-0.0757,0.0491,0.1769,
0.368876,-0.1418,1.0107,0.1074,0.1215,0.0275,0.2048,-0.0757,0.0491,0.1769,
0.388694,-0.1418,1.0107,0.1074,0.0309,-0.1348,-0.4329,-0.0757,0.0491,0.1769,
0.408999,-0.1418,1.0107,0.1074,0.2687,-0.1994,-0.2805,-0.0757,0.0491,0.1769,
0.416619,-0.1358,0.9927,0.0890,0.2687,-0.1994,-0.2805,-0.0757,0.0491,0.1769,
0.419287,-0.1358,0.9927,0.0890,0.2687,-0.1994,-0.2805,-0.1502,0.0789,0.1982,
0.428455,-0.1358,0.9927,0.0890,0.3646,0.2933,0.0130,-0.1502,0.0789,0.1982,
0.450199,-0.1358,0.9927,0.0890,0.5095,0.3125,0.5062,-0.1502,0.0789,0.1982,
0.468910,-0.1358,0.9927,0.0890,0.0061,-0.4551,0.8083,-0.1502,0.0789,0.1982,
0.486279,-0.1344,0.9768,0.1718,0.0061,-0.4551,0.8083,-0.1502,0.0789,0.1982,
0.489197,-0.1344,0.9768,0.1718,0.0061,-0.4551,0.8083,0.1053,0.0224,0.1891,
0.490958,-0.1344,0.9768,0.1718,0.1390,-0.0276,0.4641,0.1053,0.0224,0.1891,
0.508641,-0.1344,0.9768,0.1718,0.0375,-0.0922,0.4218,0.1053,0.0224,0.1891,
0.528258,-0.1344,0.9768,0.1718,-0.0715,-0.0600,0.6306,0.1053,0.0224,0.1891,
0.550865,-0.0972,0.9946,0.0740,-0.0715,-0.0600,0.6306,0.1053,0.0224,0.1891,
0.552898,-0.0972,0.9946,0.0740,-0.0715,-0.0600,0.6306,0.3283,-0.0254,0.1971,
0.553997,-0.0972,0.9946,0.0740,0.3173,0.0943,-0.3238,0.3283,-0.0254,0.1971,
0.568871,-0.0972,0.9946,0.0740,0.0657,-0.0458,-0.3895,0.3283,-0.0254,0.1971,
0.588676,-0.0972,0.9946,0.0740,0.1495,0.1482,-0.5328,0.3283,-0.0254,0.1971,
0.608591,-0.0972,0.9946,0.0740,0.3510,0.1954,0.1098,0.3283,-0.0254,0.1971,
0.613884,-0.0838,1.0005,0.1245,0.3510,0.1954,0.1098,0.3283,-0.0254,0.1971,
0.616096,-0.0838,1.0005,0.1245,0.3510,0.1954,0.1098,0.2842,-0.0515,0.1795,
0.628678,-0.0838,1.0005,0.1245,0.0401,-0.0096,0.5431,0.2842,-0.0515,0.1795,
0.648953,-0.0838,1.0005,0.1245,0.0843,0.0594,0.1350,0.2842,-0.0515,0.1795,
0.668385,-0.0838,1.0005,0.1245,0.4395,0.1849,-0.2530,0.2842,-0.0515,0.1795,
0.680059,-0.0228,1.0114,0.0185,0.4395,0.1849,-0.2530,0.2842,-0.0515,0.1795,
0.681702,-0.0228,1.0114,0.0185,0.4395,0.1849,-0.2530,0.3464,-0.1175,0.1604,
0.688366,-0.0228,1.0114,0.0185,0.7120,0.0945,-0.5033,0.3464,-0.1175,0.1604,
0.708594,-0.0228,1.0114,0.0185,0.9614,0.2418,-0.3140,0.3464,-0.1175,0.1604,
0.729327,-0.0228,1.0114,0.0185,2.3912,1.2154,-1.1052,0.3464,-0.1175,0.1604,
0.747016,0.1478,1.1377,-0.1565,2.3912,1.2154,-1.1052,0.3464,-0.1175,0.1604,
0.748947,0.1478,1.1377,-0.1565,2.3912,1.2154,-1.1052,0.0617,-0.4045,-0.3698,
0.750458,0.1478,1.1377,-0.1565,2.2415,1.3782,-2.0102,0.0617,-0.4045,-0.3698,
0.769637,0.1478,1.1377,-0.1565,5.8549,4.5184,-1.0238,0.0617,-0.4045,-0.3698,
0.788628,0.1478,1.1377,-0.1565,3.9555,0.1789,0.8914,0.0617,-0.4045,-0.3698,
0.809300,0.1478,1.1377,-0.1565,0.4085,-2.0188,1.4895,0.0617,-0.4045,-0.3698,
0.812613,-0.0229,0.8439,0.1989,0.4085,-2.0188,1.4895,0.0617,-0.4045,-0.3698,
0.814269,-0.0229,0.8439,0.1989,0.4085,-2.0188,1.4895,0.2735,-0.3896,-0.2996,
0.830250,-0.0229,0.8439,0.1989,3.1037,-0.0083,1.3279,0.2735,-0.3896,-0.2996,
0.850402,-0.0229,0.8439,0.1989,4.6896,0.0488,2.0916,0.2735,-0.3896,-0.2996,
0.870111,-0.0229,0.8439,0.1989,2.4346,-0.7766,2.1222,0.2735,-0.3896,-0.2996,
0.878211,0.2240,0.8750,0.2071,2.4346,-0.7766,2.1222,0.2735,-0.3896,-0.2996,
0.880093,0.2240,0.8750,0.2071,2.4346,-0.7766,2.1222,0.3353,-0.1841,0.6001,
0.889109,0.2240,0.8750,0.2071,2.6407,-0.5557,1.2019,0.3353,-0.1841,0.6001,
0.908763,0.2240,0.8750,0.2071,3.2135,2.6881,0.2351,0.3353,-0.1841,0.6001,
0.928662,0.2240,0.8750,0.2071,3.0605,2.1905,0.8996,0.3353,-0.1841,0.6001,
0.944247,0.1769,0.9296,0.2270,3.0605,2.1905,0.8996,0.3353,-0.1841,0.6001,
0.946582,0.1769,0.9296,0.2270,3.0605,2.1905,0.8996,0.0819,-0.4359,1.3278,
0.948569,0.1769,0.9296,0.2270,1.5493,-0.9869,2.0065,0.0819,-0.4359,1.3278,
0.968770,0.1769,0.9296,0.2270,1.1237,-2.8191,1.4343,0.0819,-0.4359,1.3278,
0.988971,0.1769,0.9296,0.2270,0.5276,-1.6223,0.2873,0.0819,-0.4359,1.3278,
1.008722,0.1769,0.9296,0.2270,0.3144,1.1300,-0.6851,0.0819,-0.4359,1.3278,
1.011246,0.1508,1.1332,-0.0455,0.3144,1.1300,-0.6851,0.0819,-0.4359,1.3278,
1.012220,0.1508,1.1332,-0.0455,0.3144,1.1300,-0.6851,0.1005,-1.1279,1.8297,
1.028975,0.1508,1.1332,-0.0455,-0.7613,0.9641,0.0192,0.1005,-1.1279,1.8297,
1.051271,0.1508,1.1332,-0.0455,-0.6421,-1.0500,0.5766,0.1005,-1.1279,1.8297,
1.070170,0.1508,1.1332,-0.0455,-1.3916,-2.1864,0.2564,0.1005,-1.1279,1.8297,
1.076566,0.0479,0.7243,0.0175,-1.3916,-2.1864,0.2564,0.1005,-1.1279,1.8297,
1.078582,0.0479,0.7243,0.0175,-1.3916,-2.1864,0.2564,-0.0230,0.0682,1.6147,
1.088634,0.0479,0.7243,0.0175,-3.0815,-2.4528,-0.0409,-0.0230,0.0682,1.6147,
