time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.001,0.10,0.98,-0.00,0.00,0.00,0.01,-0.01,0.00,0.00,1018.97
0.002,0.10,0.98,-0.00,0.00,0.00,0.01,-0.00,-0.00,0.00,1018.97
0.021,0.10,0.98,-0.01,0.00,0.00,0.01,-0.00,-0.00,0.00,1018.97
0.022,0.10,0.98,-0.01,-0.02,-0.00,-0.03,-0.00,-0.00,0.00,1018.97
0.051,0.11,0.98,-0.00,-0.02,-0.00,-0.03,-0.00,-0.00,0.00,1018.97
0.052,0.10,0.98,-0.01,-0.02,-0.00,-0.03,-0.00,-0.00,0.00,1018.97
0.065,0.10,0.98,-0.01,-0.02,-0.00,-0.03,-0.00,-0.00,0.00,1018.96
0.07,0.10,0.98,-0.01,-0.02,-0.00,-0.03,-0.00,0.00,-0.00,1018.96
0.091,0.10,0.98,-0.00,-0.02,-0.00,-0.03,-0.00,0.00,-0.00,1018.96
0.092,0.10,0.98,-0.00,-0.02,-0.00,-0.03,-0.00,0.00,-0.00,1018.96
0.093,0.10,0.98,-0.00,0.01,0.01,-0.02,-0.00,0.00,-0.00,1018.96
0.104,0.10,0.98,-0.00,0.01,0.01,-0.02,-0.00,0.00,-0.00,1018.93
0.118,0.10,0.98,-0.01,0.01,0.01,-0.02,-0.00,0.00,-0.00,1018.93
0.141,0.10,0.98,-0.01,0.01,0.01,-0.02,-0.00,-0.00,-0.00,1018.93
0.142,0.10,0.98,-0.00,0.01,0.01,-0.02,-0.00,-0.00,-0.00,1018.93
0.161,0.10,0.97,-0.00,0.01,0.01,-0.02,-0.00,-0.00,-0.00,1018.93
0.161,0.10,0.97,-0.00,-0.00,-0.01,0.01,-0.00,-0.00,-0.00,1018.93
0.185,0.10,0.98,-0.00,-0.00,-0.01,0.01,-0.00,-0.00,-0.00,1018.93
0.186,0.10,0.98,-0.00,-0.00,-0.01,0.01,-0.00,-0.00,-0.00,1018.94
0.21,0.10,0.98,-0.01,-0.00,-0.01,0.01,-0.00,-0.00,-0.00,1018.94
0.211,0.10,0.98,-0.01,-0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.94
0.231,0.10,0.98,-0.01,0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.94
0.231,0.10,0.98,-0.01,0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.94
0.232,0.11,0.98,-0.01,0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.94
0.251,0.10,0.98,0.00,0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.94
0.265,0.10,0.98,0.00,0.00,-0.01,0.01,0.00,-0.00,-0.01,1018.96
0.281,0.10,0.98,0.00,0.00,-0.01,0.01,-0.00,-0.00,-0.01,1018.96
0.281,0.10,0.98,-0.00,0.00,-0.01,0.01,-0.00,-0.00,-0.01,1018.96
0.301,0.10,0.98,-0.00,0.00,-0.01,0.01,-0.00,-0.00,-0.01,1018.96
0.302,0.10,0.98,-0.00,0.02,0.01,-0.04,-0.00,-0.00,-0.01,1018.96
0.305,0.10,0.98,-0.00,0.02,0.01,-0.04,-0.00,-0.00,-0.01,1018.96
0.317,0.10,0.98,-0.01,0.02,0.01,-0.04,-0.00,-0.00,-0.01,1018.96
0.342,0.11,0.98,-0.00,0.02,0.01,-0.04,-0.00,-0.00,-0.01,1018.96
0.352,0.11,0.98,-0.00,0.02,0.01,-0.04,0.01,-0.01,-0.01,1018.96
0.371,0.11,0.98,-0.00,-0.03,-0.00,0.03,0.01,-0.01,-0.01,1018.96
0.372,0.10,0.97,-0.00,-0.03,-0.00,0.03,0.01,-0.01,-0.01,1018.96
0.372,0.09,0.98,-0.02,-0.03,-0.00,0.03,0.01,-0.01,-0.01,1018.96
0.385,0.09,0.98,-0.02,-0.03,-0.00,0.03,0.01,-0.01,-0.01,1018.96
0.421,0.09,0.98,-0.02,-0.03,-0.00,0.03,0.00,-0.01,-0.01,1018.96
0.422,0.10,0.98,-0.02,-0.03,-0.00,0.03,0.00,-0.01,-0.01,1018.96
0.422,0.10,0.98,0.00,-0.03,-0.00,0.03,0.00,-0.01,-0.01,1018.96
0.442,0.10,0.98,-0.02,-0.03,-0.00,0.03,0.00,-0.01,-0.01,1018.96
0.443,0.10,0.98,-0.02,-0.00,-0.01,-0.01,0.00,-0.01,-0.01,1018.96
0.451,0.10,0.98,-0.01,-0.00,-0.01,-0.01,0.00,-0.01,-0.01,1018.96
0.465,0.10,0.98,-0.01,-0.00,-0.01,-0.01,0.00,-0.01,-0.01,1018.96
0.491,0.10,0.98,0.02,-0.00,-0.01,-0.01,0.00,-0.01,-0.01,1018.96
0.492,0.10,0.98,0.02,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,1018.96
0.505,0.11,0.98,-0.02,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,1018.96
0.506,0.11,0.98,-0.02,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,1018.97
0.512,0.09,0.99,-0.05,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,1018.97
0.513,0.09,0.99,-0.05,-0.00,0.02,-0.08,-0.01,-0.02,-0.02,1018.97
0.56,0.09,0.99,-0.05,-0.00,0.02,-0.08,-0.08,-0.05,-0.03,1018.97
0.562,0.08,0.98,-0.05,-0.00,0.02,-0.08,-0.08,-0.05,-0.03,1018.97
0.562,0.10,0.97,-0.00,-0.00,0.02,-0.08,-0.08,-0.05,-0.03,1018.97
0.581,0.10,0.97,-0.00,0.03,0.03,-0.08,-0.08,-0.05,-0.03,1018.97
0.582,0.11,0.97,0.07,0.03,0.03,-0.08,-0.08,-0.05,-0.03,1018.97
0.584,0.11,0.97,0.07,0.03,0.03,-0.08,-0.08,-0.05,-0.03,1018.92
0.633,0.11,0.97,0.07,0.03,0.03,-0.08,-0.00,-0.09,-0.05,1018.92
0.634,0.10,0.97,0.02,0.03,0.03,-0.08,-0.00,-0.09,-0.05,1018.92
0.635,0.08,0.97,-0.02,0.03,0.03,-0.08,-0.00,-0.09,-0.05,1018.92
0.651,0.08,0.97,-0.01,0.03,0.03,-0.08,-0.00,-0.09,-0.05,1018.92
0.652,0.08,0.98,-0.03,0.03,0.03,-0.08,-0.00,-0.09,-0.05,1018.92
0.652,0.08,0.98,-0.03,0.03,-0.04,0.14,-0.00,-0.09,-0.05,1018.92
0.664,0.08,0.98,-0.03,0.03,-0.04,0.14,-0.00,-0.09,-0.05,1018.92
0.699,0.09,0.98,-0.00,0.03,-0.04,0.14,-0.00,-0.09,-0.05,1018.92
0.7,0.11,0.98,-0.00,0.03,-0.04,0.14,-0.00,-0.09,-0.05,1018.92
0.701,0.11,0.98,-0.00,0.03,-0.04,0.14,-0.08,-0.00,-0.01,1018.92
0.704,0.11,0.98,-0.00,0.03,-0.04,0.14,-0.08,-0.00,-0.01,1018.96
0.717,0.10,0.98,0.02,0.03,-0.04,0.14,-0.08,-0.00,-0.01,1018.96
0.72,0.10,0.98,0.02,-0.08,-0.03,-0.17,-0.08,-0.00,-0.01,1018.96
0.77,0.09,0.98,0.03,-0.08,-0.03,-0.17,-0.08,-0.00,-0.01,1018.96
0.772,0.08,0.97,-0.00,-0.08,-0.03,-0.17,-0.08,-0.00,-0.01,1018.96
0.773,0.08,0.97,-0.00,-0.08,-0.03,-0.17,-0.05,0.01,-0.02,1018.96
0.784,0.08,0.97,0.03,-0.08,-0.03,-0.17,-0.05,0.01,-0.02,1018.96
0.785,0.08,0.97,0.03,-0.08,-0.03,-0.17,-0.05,0.01,-0.02,1018.97
0.79,0.08,0.98,-0.01,-0.08,-0.03,-0.17,-0.05,0.01,-0.02,1018.97
0.79,0.08,0.98,-0.01,0.06,0.02,0.04,-0.05,0.01,-0.02,1018.97
0.841,0.08,0.98,-0.01,0.06,0.02,0.04,-0.05,0.01,-0.01,1018.97
0.842,0.09,0.98,-0.01,0.06,0.02,0.04,-0.05,0.01,-0.01,1018.97
0.843,0.10,0.97,0.04,0.06,0.02,0.04,-0.05,0.01,-0.01,1018.97
0.851,0.08,0.97,0.04,0.06,0.02,0.04,-0.05,0.01,-0.01,1018.97
0.862,0.08,0.97,0.04,-0.08,-0.04,-0.00,-0.05,0.01,-0.01,1018.97
0.864,0.08,0.97,0.04,-0.08,-0.04,-0.00,-0.05,0.01,-0.01,1019.03
0.905,0.08,0.97,0.04,-0.08,-0.04,-0.00,-0.05,0.01,-0.01,1019.08
0.906,0.08,0.98,-0.02,-0.08,-0.04,-0.00,-0.05,0.01,-0.01,1019.08
0.907,0.09,0.98,0.01,-0.08,-0.04,-0.00,-0.05,0.01,-0.01,1019.08
0.91,0.09,0.98,0.01,-0.08,-0.04,-0.00,-0.03,0.01,0.01,1019.08
0.917,0.09,0.98,-0.01,-0.08,-0.04,-0.00,-0.03,0.01,0.01,1019.08
0.932,0.09,0.98,0.02,-0.08,-0.04,-0.00,-0.03,0.01,0.01,1019.08
