time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.00,0.98,0.04,-0.01,0.02,-0.12,0.00,-0.01,0.00,1019.03
0.023,0.00,0.98,0.04,-0.01,0.02,-0.12,-0.03,-0.01,-0.00,1019.03
0.024,-0.02,0.99,0.01,-0.01,0.02,-0.12,-0.03,-0.01,-0.00,1019.03
0.031,-0.02,0.99,0.01,-0.01,0.02,-0.12,-0.03,-0.01,-0.00,1019.03
0.044,-0.03,0.98,0.07,-0.01,0.02,-0.12,-0.03,-0.01,-0.00,1019.03
0.044,-0.03,0.98,0.07,-0.05,-0.02,0.13,-0.03,-0.01,-0.00,1019.03
0.063,-0.01,0.98,0.05,-0.05,-0.02,0.13,-0.03,-0.01,-0.00,1019.03
0.071,-0.01,0.98,0.05,-0.05,-0.02,0.13,-0.03,-0.01,-0.00,1019.05
0.084,-0.01,0.98,0.07,-0.05,-0.02,0.13,-0.03,-0.01,-0.00,1019.05
0.093,-0.01,0.98,0.07,-0.05,-0.02,0.13,-0.05,0.01,0.02,1019.05
0.104,-0.02,0.99,0.04,-0.05,-0.02,0.13,-0.05,0.01,0.02,1019.05
0.113,-0.02,0.99,0.04,-0.05,0.01,-0.10,-0.05,0.01,0.02,1019.05
0.123,-0.04,0.99,0.02,-0.05,0.01,-0.10,-0.05,0.01,0.02,1019.05
0.151,-0.02,0.99,0.07,-0.05,0.01,-0.10,-0.05,0.01,0.02,1019.05
0.151,-0.02,0.99,0.07,-0.05,0.01,-0.10,-0.05,0.01,0.02,1019.04
0.163,-0.02,0.99,0.07,-0.05,0.01,-0.10,-0.06,0.02,0.06,1019.04
0.164,-0.01,0.98,0.06,-0.05,0.01,-0.10,-0.06,0.02,0.06,1019.04
0.183,-0.00,0.98,0.08,-0.05,0.01,-0.10,-0.06,0.02,0.06,1019.04
0.184,-0.00,0.98,0.08,-0.11,0.00,-0.06,-0.06,0.02,0.06,1019.04
0.204,-0.00,0.98,0.05,-0.11,0.00,-0.06,-0.06,0.02,0.06,1019.04
0.223,-0.01,0.98,0.08,-0.11,0.00,-0.06,-0.06,0.02,0.06,1019.04
0.23,-0.01,0.98,0.08,-0.11,0.00,-0.06,-0.06,0.02,0.06,1019.02
0.232,-0.01,0.98,0.08,-0.11,0.00,-0.06,-0.01,0.01,0.07,1019.02
0.242,-0.00,0.98,0.08,-0.11,0.00,-0.06,-0.01,0.01,0.07,1019.02
0.253,-0.00,0.98,0.08,-0.13,0.02,0.06,-0.01,0.01,0.07,1019.02
0.263,0.02,0.97,0.07,-0.13,0.02,0.06,-0.01,0.01,0.07,1019.02
0.271,0.02,0.97,0.07,-0.13,0.02,0.06,-0.01,0.01,0.07,1018.97
0.283,0.03,0.99,0.02,-0.13,0.02,0.06,-0.01,0.01,0.07,1018.97
0.304,0.03,0.99,0.02,-0.13,0.02,0.06,0.02,-0.02,0.03,1018.97
0.304,0.01,0.98,0.07,-0.13,0.02,0.06,0.02,-0.02,0.03,1018.97
0.324,-0.01,0.98,0.09,-0.13,0.02,0.06,0.02,-0.02,0.03,1018.97
0.325,-0.01,0.98,0.09,0.01,-0.00,0.12,0.02,-0.02,0.03,1018.97
0.343,0.01,0.97,0.09,0.01,-0.00,0.12,0.02,-0.02,0.03,1018.97
0.351,0.01,0.97,0.09,0.01,-0.00,0.12,0.02,-0.02,0.03,1018.97
0.363,0.01,0.97,0.09,0.01,-0.00,0.12,0.02,-0.02,0.03,1018.97
0.372,0.01,0.97,0.09,0.01,-0.00,0.12,0.12,0.01,-0.00,1018.97
0.384,-0.01,0.98,0.06,0.01,-0.00,0.12,0.12,0.01,-0.00,1018.97
0.393,-0.01,0.98,0.06,0.10,-0.01,0.10,0.12,0.01,-0.00,1018.97
0.404,0.00,0.98,0.09,0.10,-0.01,0.10,0.12,0.01,-0.00,1018.97
0.424,-0.01,0.99,0.03,0.10,-0.01,0.10,0.12,0.01,-0.00,1018.97
0.432,-0.01,0.99,0.03,0.10,-0.01,0.10,0.12,0.01,-0.00,1018.98
0.446,-0.01,0.99,0.03,0.10,-0.01,0.10,0.26,0.02,-0.03,1018.98
0.447,0.00,1.00,0.02,0.10,-0.01,0.10,0.26,0.02,-0.03,1018.98
0.463,-0.01,0.98,0.08,0.10,-0.01,0.10,0.26,0.02,-0.03,1018.98
0.463,-0.01,0.98,0.08,0.07,-0.07,0.48,0.26,0.02,-0.03,1018.98
0.471,-0.01,0.98,0.08,0.07,-0.07,0.48,0.26,0.02,-0.03,1018.99
