
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.039517,0.0000,0.0000,0.0000,0.1022,0.0705,-0.6159,0.0000,0.0000,0.0000,
0.058316,0.0000,0.0000,0.0000,0.1022,0.0705,-0.6159,0.0000,0.0000,0.0000,
0.067218,0.3580,0.9712,0.0095,0.1022,0.0705,-0.6159,0.0000,0.0000,0.0000,
0.067958,0.3580,0.9712,0.0095,0.1022,0.0705,-0.6159,-0.0357,-0.0218,0.0927,
0.080534,0.3580,0.9712,0.0095,0.0834,0.3030,0.0018,-0.0357,-0.0218,0.0927,
0.101459,0.3580,0.9712,0.0095,-2.1720,0.2694,0.0283,-0.0357,-0.0218,0.0927,
0.119109,0.3580,0.9712,0.0095,-1.4859,0.0721,-0.1656,-0.0357,-0.0218,0.0927,
0.132759,0.0273,0.9949,-0.0412,-1.4859,0.0721,-0.1656,-0.0357,-0.0218,0.0927,
0.133989,0.0273,0.9949,-0.0412,-1.4859,0.0721,-0.1656,0.0122,0.0378,0.0204,
0.139318,0.0273,0.9949,-0.0412,-1.3922,0.0977,-0.4920,0.0122,0.0378,0.0204,
0.160336,0.0273,0.9949,-0.0412,-0.0891,0.0621,-0.0093,0.0122,0.0378,0.0204,
0.179521,0.0273,0.9949,-0.0412,-0.3102,0.0622,-0.1823,0.0122,0.0378,0.0204,
0.198728,0.0292,0.9838,-0.0166,-0.3102,0.0622,-0.1823,0.0122,0.0378,0.0204,
0.200635,0.0292,0.9838,-0.0166,-0.3102,0.0622,-0.1823,-0.0309,0.0315,0.0166,
0.201471,0.0292,0.9838,-0.0166,-0.9574,-0.0760,-0.1295,-0.0309,0.0315,0.0166,
0.219385,0.0292,0.9838,-0.0166,-0.1293,-0.0344,0.1260,-0.0309,0.0315,0.0166,
0.239089,0.0292,0.9838,-0.0166,-0.1492,0.0189,-0.0792,-0.0309,0.0315,0.0166,
0.259730,0.0292,0.9838,-0.0166,0.1420,0.1098,-0.1671,-0.0309,0.0315,0.0166,
0.264422,0.0855,1.0011,-0.0293,0.1420,0.1098,-0.1671,-0.0309,0.0315,0.0166,
0.265640,0.0855,1.0011,-0.0293,0.1420,0.1098,-0.1671,-0.0645,-0.0665,0.0054,
0.279558,0.0855,1.0011,-0.0293,-0.7993,0.0610,0.1829,-0.0645,-0.0665,0.0054,
0.299479,0.0855,1.0011,-0.0293,-0.0556,0.0049,0.3748,-0.0645,-0.0665,0.0054,
0.319240,0.0855,1.0011,-0.0293,1.2557,-0.0185,0.1849,-0.0645,-0.0665,0.0054,
0.330964,0.0902,0.9983,-0.0053,1.2557,-0.0185,0.1849,-0.0645,-0.0665,0.0054,
0.332550,0.0902,0.9983,-0.0053,1.2557,-0.0185,0.1849,0.0111,-0.0005,-0.0691,
0.340858,0.0902,0.9983,-0.0053,-0.4556,0.0506,-0.1161,0.0111,-0.0005,-0.0691,
0.359322,0.0902,0.9983,-0.0053,-0.1668,-0.1763,-0.0169,0.0111,-0.0005,-0.0691,
0.379923,0.0902,0.9983,-0.0053,-0.1692,-0.0025,-0.4536,0.0111,-0.0005,-0.0691,
0.398148,0.0755,0.9946,-0.0414,-0.1692,-0.0025,-0.4536,0.0111,-0.0005,-0.0691,
0.400157,0.0755,0.9946,-0.0414,-0.1692,-0.0025,-0.4536,-0.0687,0.0272,-0.0222,
