
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.039282,-0.1554,1.0017,0.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040749,-0.1554,1.0017,0.0686,0.0000,0.0000,0.0000,-0.0291,0.0578,0.0001,
0.041355,-0.1554,1.0017,0.0686,0.5329,-0.3323,-0.7961,-0.0291,0.0578,0.0001,
0.052058,-0.1554,1.0017,0.0686,0.5329,-0.3323,-0.7961,-0.0291,0.0578,0.0001,
0.074757,-0.1554,1.0017,0.0686,0.0000,-0.0005,0.0000,-0.0291,0.0578,0.0001,
0.095479,-0.1554,1.0017,0.0686,-0.4942,0.2549,0.1561,-0.0291,0.0578,0.0001,
0.098624,-0.1834,1.0021,0.0054,-0.4942,0.2549,0.1561,-0.0291,0.0578,0.0001,
0.099438,-0.1834,1.0021,0.0054,-0.4942,0.2549,0.1561,-0.0893,0.0253,-0.0153,
0.114196,-0.1834,1.0021,0.0054,0.1861,0.0402,0.8394,-0.0893,0.0253,-0.0153,
0.134330,-0.1834,1.0021,0.0054,-0.2250,-0.0559,0.7696,-0.0893,0.0253,-0.0153,
0.153795,-0.1834,1.0021,0.0054,-0.4988,-0.1760,0.1688,-0.0893,0.0253,-0.0153,
0.164765,-0.1600,0.9805,0.0408,-0.4988,-0.1760,0.1688,-0.0893,0.0253,-0.0153,
0.166538,-0.1600,0.9805,0.0408,-0.4988,-0.1760,0.1688,-0.0462,0.0200,0.0171,
0.173941,-0.1600,0.9805,0.0408,-0.2540,-0.0889,0.1691,-0.0462,0.0200,0.0171,
0.196419,-0.1600,0.9805,0.0408,0.2315,0.0813,0.4201,-0.0462,0.0200,0.0171,
0.214063,-0.1600,0.9805,0.0408,0.0931,-0.0140,0.0427,-0.0462,0.0200,0.0171,
0.230539,-0.1433,0.9536,-0.0032,0.0931,-0.0140,0.0427,-0.0462,0.0200,0.0171,
0.233173,-0.1433,0.9536,-0.0032,0.0931,-0.0140,0.0427,-0.0611,0.0903,-0.0446,
0.234786,-0.1433,0.9536,-0.0032,-0.3653,-0.3719,-0.3923,-0.0611,0.0903,-0.0446,
0.254492,-0.1433,0.9536,-0.0032,0.1260,-0.2244,-0.0376,-0.0611,0.0903,-0.0446,
0.273866,-0.1433,0.9536,-0.0032,-0.2326,-0.0341,0.4483,-0.0611,0.0903,-0.0446,
0.293904,-0.1433,0.9536,-0.0032,-0.0535,-0.2063,0.5934,-0.0611,0.0903,-0.0446,
0.296902,-0.1329,0.9707,0.1236,-0.0535,-0.2063,0.5934,-0.0611,0.0903,-0.0446,
0.298047,-0.1329,0.9707,0.1236,-0.0535,-0.2063,0.5934,0.0044,0.0344,-0.0052,
0.313708,-0.1329,0.9707,0.1236,-0.1076,0.1198,0.9229,0.0044,0.0344,-0.0052,
0.336812,-0.1329,0.9707,0.1236,-0.3703,0.2472,-1.1917,0.0044,0.0344,-0.0052,
0.354434,-0.1329,0.9707,0.1236,0.9983,0.2567,-0.4243,0.0044,0.0344,-0.0052,
0.366238,0.0035,0.9775,0.1131,0.9983,0.2567,-0.4243,0.0044,0.0344,-0.0052,
0.368554,0.0035,0.9775,0.1131,0.9983,0.2567,-0.4243,0.0305,0.0259,-0.0452,
0.373962,0.0035,0.9775,0.1131,0.0656,-0.0050,-0.0686,0.0305,0.0259,-0.0452,
0.394141,0.0035,0.9775,0.1131,-0.7061,-0.0534,-0.8915,0.0305,0.0259,-0.0452,
0.414670,0.0035,0.9775,0.1131,-0.0348,-0.0333,0.3763,0.0305,0.0259,-0.0452,
0.428224,-0.1100,0.9698,0.1646,-0.0348,-0.0333,0.3763,0.0305,0.0259,-0.0452,
0.429999,-0.1100,0.9698,0.1646,-0.0348,-0.0333,0.3763,0.0054,-0.0108,0.0363,
0.433930,-0.1100,0.9698,0.1646,0.3435,-0.1514,1.0096,0.0054,-0.0108,0.0363,
0.454247,-0.1100,0.9698,0.1646,0.2712,0.1203,-0.1930,0.0054,-0.0108,0.0363,
0.474111,-0.1100,0.9698,0.1646,0.4543,0.2831,-1.1337,0.0054,-0.0108,0.0363,
0.494460,-0.0963,0.9923,-0.0459,0.4543,0.2831,-1.1337,0.0054,-0.0108,0.0363,
0.497407,-0.0963,0.9923,-0.0459,0.4543,0.2831,-1.1337,-0.1297,0.0376,-0.0984,
0.498693,-0.0963,0.9923,-0.0459,0.3967,0.0329,-1.0219,-0.1297,0.0376,-0.0984,
0.514249,-0.0963,0.9923,-0.0459,-0.5152,-0.6210,0.4094,-0.1297,0.0376,-0.0984,
0.533895,-0.0963,0.9923,-0.0459,-0.3219,-0.0368,0.9863,-0.1297,0.0376,-0.0984,
0.554503,-0.0963,0.9923,-0.0459,-0.0280,-0.4265,0.3631,-0.1297,0.0376,-0.0984,
0.559275,-0.1552,0.9892,0.0826,-0.0280,-0.4265,0.3631,-0.1297,0.0376,-0.0984,
0.561004,-0.1552,0.9892,0.0826,-0.0280,-0.4265,0.3631,-0.0158,0.0674,-0.0484,
0.574157,-0.1552,0.9892,0.0826,-0.6946,0.1762,-0.1351,-0.0158,0.0674,-0.0484,
0.594271,-0.1552,0.9892,0.0826,0.2992,0.5294,-1.2022,-0.0158,0.0674,-0.0484,
0.614651,-0.1552,0.9892,0.0826,0.1745,-0.2652,0.3142,-0.0158,0.0674,-0.0484,
0.625781,-0.1591,0.9810,0.1184,0.1745,-0.2652,0.3142,-0.0158,0.0674,-0.0484,
0.628039,-0.1591,0.9810,0.1184,0.1745,-0.2652,0.3142,-0.0350,0.1174,-0.0760,
0.634263,-0.1591,0.9810,0.1184,-0.4900,0.2294,0.4180,-0.0350,0.1174,-0.0760,
0.655601,-0.1591,0.9810,0.1184,-0.2357,-0.1694,0.0284,-0.0350,0.1174,-0.0760,
