time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.012,0.12,0.97,0.08,0.07,-0.01,-0.06,-0.02,0.02,-0.01,1009.26
0.013,0.10,0.97,0.10,0.07,-0.01,-0.06,-0.02,0.02,-0.01,1009.26
0.013,0.10,0.97,0.10,0.07,-0.01,-0.06,-0.02,0.02,-0.01,1009.30
0.02,0.10,0.97,0.10,0.07,-0.01,-0.06,-0.00,0.01,-0.01,1009.30
0.049,0.10,0.97,0.10,0.07,-0.01,-0.06,-0.00,0.01,-0.01,1009.30
0.049,0.10,0.97,0.10,-0.00,0.01,0.02,-0.00,0.01,-0.01,1009.30
0.091,0.10,0.97,0.10,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.092,0.10,0.97,0.09,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.092,0.10,0.97,0.09,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.093,0.11,0.98,0.08,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.093,0.11,0.98,0.08,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.111,0.10,0.97,0.09,-0.00,0.01,0.02,-0.01,0.01,-0.01,1009.30
0.112,0.10,0.97,0.09,0.06,0.00,-0.05,-0.01,0.01,-0.01,1009.30
0.159,0.10,0.97,0.11,0.06,0.00,-0.05,-0.01,0.01,-0.01,1009.30
0.161,0.09,0.98,0.10,0.06,0.00,-0.05,-0.01,0.01,-0.01,1009.30
0.161,0.09,0.98,0.10,0.06,0.00,-0.05,-0.03,0.01,-0.02,1009.30
0.172,0.09,0.98,0.09,0.06,0.00,-0.05,-0.03,0.01,-0.02,1009.30
0.173,0.09,0.98,0.09,0.06,0.00,-0.05,-0.03,0.01,-0.02,1009.27
0.18,0.09,0.98,0.09,0.07,-0.00,-0.10,-0.03,0.01,-0.02,1009.27
0.213,0.09,0.98,0.09,0.07,-0.00,-0.10,-0.03,0.01,-0.02,1009.29
0.214,0.09,0.98,0.09,0.07,-0.00,-0.10,-0.03,0.01,-0.02,1009.29
0.215,0.10,0.98,0.09,0.07,-0.00,-0.10,-0.03,0.01,-0.02,1009.29
0.23,0.10,0.98,0.09,0.07,-0.00,-0.10,-0.03,0.01,-0.01,1009.29
0.25,0.10,0.98,0.09,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.29
0.251,0.11,0.96,0.10,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.29
0.251,0.10,0.97,0.10,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.29
0.292,0.10,0.97,0.10,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.29
0.293,0.09,0.97,0.11,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.29
0.293,0.09,0.97,0.11,-0.03,0.01,-0.03,-0.03,0.01,-0.01,1009.28
0.299,0.09,0.97,0.11,-0.03,0.01,-0.03,-0.03,0.01,-0.03,1009.28
0.32,0.09,0.97,0.11,0.08,-0.02,-0.05,-0.03,0.01,-0.03,1009.28
0.321,0.10,0.98,0.09,0.08,-0.02,-0.05,-0.03,0.01,-0.03,1009.28
0.358,0.10,0.97,0.09,0.08,-0.02,-0.05,-0.03,0.01,-0.03,1009.28
0.359,0.09,0.98,0.09,0.08,-0.02,-0.05,-0.03,0.01,-0.03,1009.28
0.37,0.09,0.98,0.09,0.08,-0.02,-0.05,-0.05,0.01,-0.03,1009.28
0.372,0.11,0.97,0.05,0.08,-0.02,-0.05,-0.05,0.01,-0.03,1009.28
0.372,0.11,0.97,0.05,0.08,-0.02,-0.05,-0.05,0.01,-0.03,1009.26
0.39,0.08,0.96,0.16,0.08,-0.02,-0.05,-0.05,0.01,-0.03,1009.26
0.391,0.08,0.96,0.16,0.04,0.01,-0.07,-0.05,0.01,-0.03,1009.26
0.413,0.09,0.97,0.14,0.04,0.01,-0.07,-0.05,0.01,-0.03,1009.26
0.414,0.09,0.97,0.14,0.04,0.01,-0.07,-0.05,0.01,-0.03,1009.25
0.44,0.09,0.97,0.14,0.04,0.01,-0.07,-0.03,0.02,-0.02,1009.25
0.441,0.09,0.98,0.09,0.04,0.01,-0.07,-0.03,0.02,-0.02,1009.25
0.46,0.09,0.98,0.09,0.02,0.00,-0.05,-0.03,0.02,-0.02,1009.25
0.461,0.08,0.98,0.10,0.02,0.00,-0.05,-0.03,0.02,-0.02,1009.25
0.491,0.10,0.97,0.10,0.02,0.00,-0.05,-0.03,0.02,-0.02,1009.25
0.492,0.11,0.96,0.11,0.02,0.00,-0.05,-0.03,0.02,-0.02,1009.25
0.493,0.11,0.96,0.11,0.02,0.00,-0.05,-0.03,0.02,-0.02,1009.27
0.51,0.11,0.96,0.11,0.02,0.00,-0.05,-0.02,0.01,-0.02,1009.27
0.53,0.09,0.97,0.13,0.02,0.00,-0.05,-0.02,0.01,-0.02,1009.27
0.531,0.10,0.98,0.09,0.02,0.00,-0.05,-0.02,0.01,-0.02,1009.27
0.532,0.10,0.98,0.09,-0.02,0.01,0.01,-0.02,0.01,-0.02,1009.27
0.565,0.10,0.97,0.06,-0.02,0.01,0.01,-0.02,0.01,-0.02,1009.27
0.572,0.08,0.96,0.13,-0.02,0.01,0.01,-0.02,0.01,-0.02,1009.27
0.573,0.08,0.96,0.13,-0.02,0.01,0.01,-0.02,0.01,-0.02,1009.30
0.58,0.08,0.96,0.13,-0.02,0.01,0.01,-0.04,-0.01,-0.04,1009.30
0.6,0.08,0.96,0.13,0.10,-0.07,-0.00,-0.04,-0.01,-0.04,1009.30
0.602,0.10,0.97,0.08,0.10,-0.07,-0.00,-0.04,-0.01,-0.04,1009.30
0.612,0.10,0.97,0.13,0.10,-0.07,-0.00,-0.04,-0.01,-0.04,1009.30
0.613,0.10,0.97,0.13,0.10,-0.07,-0.00,-0.04,-0.01,-0.04,1009.28
0.65,0.10,0.97,0.13,0.10,-0.07,-0.00,-0.07,-0.01,-0.05,1009.28
0.651,0.08,0.97,0.11,0.10,-0.07,-0.00,-0.07,-0.01,-0.05,1009.28
0.67,0.08,0.97,0.11,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.28
0.672,0.07,0.99,0.10,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.28
0.672,0.09,0.97,0.15,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.28
0.693,0.08,0.96,0.13,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.28
0.694,0.08,0.96,0.13,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.26
0.72,0.09,0.97,0.14,0.06,-0.04,-0.14,-0.07,-0.01,-0.05,1009.26
0.721,0.09,0.97,0.14,0.06,-0.04,-0.14,0.01,0.01,-0.02,1009.26
