time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,-0.07,0.98,0.04,0.04,0.01,0.08,-0.00,0.01,-0.00,1009.32
0.027,-0.07,0.98,0.04,0.04,0.01,0.08,-0.00,0.01,-0.00,1009.32
0.028,-0.07,0.98,0.04,0.04,0.01,0.08,-0.00,0.01,-0.00,1009.31
0.037,-0.07,0.98,0.04,0.04,0.01,0.08,-0.01,0.01,0.00,1009.31
0.047,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.31
0.047,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.31
0.065,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.31
0.107,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.30
0.108,-0.06,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.30
0.108,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.30
0.109,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.30
0.117,-0.07,0.98,0.04,-0.00,0.00,-0.05,-0.01,0.01,0.00,1009.30
0.118,-0.07,0.98,0.04,0.01,-0.00,-0.02,-0.01,0.01,0.00,1009.30
0.177,-0.07,0.98,0.04,0.01,-0.00,-0.02,-0.02,0.01,0.01,1009.30
0.178,-0.07,0.98,0.03,0.01,-0.00,-0.02,-0.02,0.01,0.01,1009.30
0.178,-0.07,0.98,0.04,0.01,-0.00,-0.02,-0.02,0.01,0.01,1009.30
0.186,-0.07,0.98,0.04,0.01,-0.00,-0.02,-0.02,0.01,0.01,1009.30
0.187,-0.07,0.98,0.04,0.01,-0.00,-0.02,-0.02,0.01,0.01,1009.31
0.187,-0.07,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.01,1009.31
0.198,-0.06,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.01,1009.31
0.226,-0.07,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.01,1009.31
0.227,-0.07,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.01,1009.29
0.247,-0.07,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.00,1009.29
0.247,-0.06,0.98,0.04,0.06,0.01,-0.01,-0.02,0.01,0.00,1009.29
0.257,-0.06,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.29
0.258,-0.07,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.29
0.307,-0.07,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.29
0.307,-0.06,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.29
0.308,-0.06,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.31
0.317,-0.06,0.98,0.04,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.31
0.329,-0.07,0.98,0.05,0.00,0.00,-0.03,-0.02,0.01,0.00,1009.31
0.329,-0.07,0.98,0.05,0.04,0.00,-0.01,-0.02,0.01,0.00,1009.31
0.339,-0.07,0.98,0.04,0.04,0.00,-0.01,-0.02,0.01,0.00,1009.31
0.386,-0.07,0.98,0.04,0.04,0.00,-0.01,-0.02,0.01,0.00,1009.30
0.387,-0.07,0.98,0.04,0.04,0.00,-0.01,-0.02,0.01,0.00,1009.30
0.387,-0.06,0.98,0.04,0.04,0.00,-0.01,-0.02,0.01,0.00,1009.30
0.387,-0.06,0.98,0.04,0.04,0.00,-0.01,-0.02,0.01,0.01,1009.30
0.397,-0.06,0.98,0.04,0.04,-0.00,-0.01,-0.02,0.01,0.01,1009.30
0.398,-0.07,0.98,0.05,0.04,-0.00,-0.01,-0.02,0.01,0.01,1009.30
0.427,-0.07,0.98,0.05,0.04,-0.00,-0.01,-0.02,0.01,0.01,1009.32
0.427,-0.06,0.98,0.05,0.04,-0.00,-0.01,-0.02,0.01,0.01,1009.32
0.458,-0.06,0.98,0.05,0.04,-0.00,-0.01,-0.00,0.01,0.00,1009.32
0.458,-0.07,0.98,0.05,0.04,-0.00,-0.01,-0.00,0.01,0.00,1009.32
0.465,-0.06,0.98,0.05,0.04,-0.00,-0.01,-0.00,0.01,0.00,1009.32
0.467,-0.06,0.98,0.05,0.02,0.01,-0.01,-0.00,0.01,0.00,1009.32
0.506,-0.06,0.98,0.05,0.02,0.01,-0.01,-0.00,0.01,0.00,1009.30
0.506,-0.07,0.98,0.04,0.02,0.01,-0.01,-0.00,0.01,0.00,1009.30
0.507,-0.06,0.98,0.05,0.02,0.01,-0.01,-0.00,0.01,0.00,1009.30
0.527,-0.06,0.98,0.05,0.02,0.01,-0.01,0.01,-0.00,0.01,1009.30
0.528,-0.07,0.98,0.05,0.02,0.01,-0.01,0.01,-0.00,0.01,1009.30
0.537,-0.07,0.98,0.05,0.03,0.00,0.02,0.01,-0.00,0.01,1009.30
0.537,-0.07,0.98,0.03,0.03,0.00,0.02,0.01,-0.00,0.01,1009.30
0.586,-0.07,0.98,0.03,0.03,0.00,0.02,0.01,-0.00,0.01,1009.32
0.587,-0.07,0.98,0.03,0.03,0.00,0.02,0.01,-0.00,0.01,1009.32
0.588,-0.05,0.98,0.05,0.03,0.00,0.02,0.01,-0.00,0.01,1009.32
0.597,-0.05,0.98,0.05,0.03,0.00,0.02,0.01,-0.01,0.01,1009.32
0.598,-0.05,0.98,0.05,0.03,0.00,0.02,0.01,-0.01,0.01,1009.32
0.606,-0.05,0.98,0.05,0.03,0.00,-0.02,0.01,-0.01,0.01,1009.32
0.625,-0.07,0.97,0.06,0.03,0.00,-0.02,0.01,-0.01,0.01,1009.32
0.626,-0.07,0.97,0.06,0.03,0.00,-0.02,0.01,-0.01,0.01,1009.28
0.665,-0.06,0.98,0.03,0.03,0.00,-0.02,0.01,-0.01,0.01,1009.28
0.666,-0.08,0.98,0.03,0.03,0.00,-0.02,0.01,-0.01,0.01,1009.28
0.667,-0.08,0.98,0.03,0.03,0.00,-0.02,0.04,-0.02,0.01,1009.28
0.677,-0.06,0.99,0.02,0.03,0.00,-0.02,0.04,-0.02,0.01,1009.28
0.677,-0.06,0.99,0.02,0.08,-0.01,0.05,0.04,-0.02,0.01,1009.28
0.706,-0.04,0.98,0.04,0.08,-0.01,0.05,0.04,-0.02,0.01,1009.28
0.707,-0.04,0.98,0.04,0.08,-0.01,0.05,0.04,-0.02,0.01,1009.30
0.732,-0.07,0.98,0.05,0.08,-0.01,0.05,0.04,-0.02,0.01,1009.30
0.736,-0.07,0.98,0.05,0.08,-0.01,0.05,0.02,-0.02,0.01,1009.30
0.747,-0.05,0.98,0.03,0.08,-0.01,0.05,0.02,-0.02,0.01,1009.30
0.748,-0.05,0.98,0.03,-0.04,0.02,-0.07,0.02,-0.02,0.01,1009.30
0.786,-0.05,0.98,0.03,-0.04,0.02,-0.07,0.02,-0.02,0.01,1009.29
0.787,-0.07,0.99,0.02,-0.04,0.02,-0.07,0.02,-0.02,0.01,1009.29
0.788,-0.06,0.98,0.04,-0.04,0.02,-0.07,0.02,-0.02,0.01,1009.29
0.798,-0.07,0.98,0.04,-0.04,0.02,-0.07,0.02,-0.02,0.01,1009.29
0.806,-0.07,0.98,0.04,-0.04,0.02,-0.07,0.01,-0.02,0.01,1009.29
0.817,-0.07,0.98,0.04,0.09,0.01,0.00,0.01,-0.02,0.01,1009.29
0.818,-0.03,0.97,0.06,0.09,0.01,0.00,0.01,-0.02,0.01,1009.29
0.825,-0.03,0.97,0.06,0.09,0.01,0.00,0.01,-0.02,0.01,1009.32
0.865,-0.05,0.97,0.04,0.09,0.01,0.00,0.01,-0.02,0.01,1009.32
0.866,-0.06,0.98,0.02,0.09,0.01,0.00,0.01,-0.02,0.01,1009.32
0.877,-0.06,0.98,0.02,0.09,0.01,0.00,0.03,-0.04,-0.02,1009.32
0.887,-0.06,0.98,0.02,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.32
0.888,-0.06,0.98,0.03,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.32
0.907,-0.03,0.97,0.05,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.32
0.908,-0.03,0.97,0.05,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.28
0.932,-0.08,0.98,0.02,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.28
0.947,-0.07,0.99,0.02,0.08,0.00,0.03,0.03,-0.04,-0.02,1009.28
0.949,-0.07,0.99,0.02,0.08,0.00,0.03,0.00,-0.03,-0.04,1009.28
0.959,-0.02,0.97,0.05,0.08,0.00,0.03,0.00,-0.03,-0.04,1009.28
0.959,-0.02,0.97,0.05,0.09,-0.03,-0.07,0.00,-0.03,-0.04,1009.28
0.986,-0.04,0.96,0.07,0.09,-0.03,-0.07,0.00,-0.03,-0.04,1009.28
0.987,-0.04,0.96,0.07,0.09,-0.03,-0.07,0.00,-0.03,-0.04,1009.34
