time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.021,-0.05,1.00,0.10,-0.11,0.01,0.33,-0.01,0.07,-0.01,1005.91
0.022,-0.02,1.00,0.17,-0.11,0.01,0.33,-0.01,0.07,-0.01,1005.91
0.022,-0.07,1.00,0.18,-0.11,0.01,0.33,-0.01,0.07,-0.01,1005.91
0.022,-0.07,1.00,0.18,-0.11,0.01,0.33,0.04,-0.03,0.01,1005.91
0.023,-0.07,1.00,0.18,0.04,0.02,0.03,0.04,-0.03,0.01,1005.91
0.068,-0.07,1.00,0.18,0.04,0.02,0.03,0.04,-0.03,0.01,1005.92
0.079,-0.06,1.00,0.17,0.04,0.02,0.03,0.04,-0.03,0.01,1005.92
0.08,-0.03,1.00,0.15,0.04,0.02,0.03,0.04,-0.03,0.01,1005.92
0.08,-0.02,0.99,0.15,0.04,0.02,0.03,0.04,-0.03,0.01,1005.92
0.08,-0.02,0.99,0.15,0.04,0.02,0.03,0.07,0.01,0.02,1005.92
0.08,-0.02,0.99,0.15,0.12,-0.02,0.12,0.07,0.01,0.02,1005.92
0.107,-0.02,0.99,0.15,0.12,-0.02,0.12,0.07,0.01,0.02,1005.91
0.137,-0.02,0.99,0.16,0.12,-0.02,0.12,0.07,0.01,0.02,1005.91
0.137,-0.06,1.00,0.16,0.12,-0.02,0.12,0.07,0.01,0.02,1005.91
0.138,-0.07,1.01,0.14,0.12,-0.02,0.12,0.07,0.01,0.02,1005.91
0.138,-0.07,1.01,0.14,0.12,-0.02,0.12,0.09,0.05,-0.03,1005.91
0.138,-0.07,1.01,0.14,0.03,-0.00,0.15,0.09,0.05,-0.03,1005.91
0.189,-0.07,1.01,0.14,0.03,-0.00,0.15,0.09,0.05,-0.03,1005.92
0.195,-0.05,1.00,0.12,0.03,-0.00,0.15,0.09,0.05,-0.03,1005.92
0.196,-0.04,0.99,0.11,0.03,-0.00,0.15,0.09,0.05,-0.03,1005.92
0.196,-0.03,0.97,0.11,0.03,-0.00,0.15,0.09,0.05,-0.03,1005.92
0.197,-0.03,0.97,0.11,0.03,-0.00,0.15,0.10,0.05,-0.03,1005.92
0.197,-0.03,0.97,0.11,0.09,-0.12,-0.15,0.10,0.05,-0.03,1005.92
0.254,-0.03,0.97,0.13,0.09,-0.12,-0.15,0.10,0.05,-0.03,1005.92
0.254,-0.04,0.99,0.13,0.09,-0.12,-0.15,0.10,0.05,-0.03,1005.92
0.254,-0.04,0.98,0.11,0.09,-0.12,-0.15,0.10,0.05,-0.03,1005.92
0.255,-0.04,0.98,0.11,0.18,-0.17,-0.04,0.10,0.05,-0.03,1005.92
0.255,-0.04,0.98,0.11,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.267,-0.04,0.98,0.11,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.308,-0.04,0.98,0.11,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.312,0.00,0.93,0.10,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.313,0.04,0.90,0.12,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.313,-0.02,0.97,0.14,0.18,-0.17,-0.04,0.06,0.09,-0.03,1005.92
0.313,-0.02,0.97,0.14,0.18,-0.17,-0.04,0.04,0.12,0.01,1005.92
0.313,-0.02,0.97,0.14,0.58,-0.60,-0.05,0.04,0.12,0.01,1005.92
0.371,-0.08,1.06,0.18,0.58,-0.60,-0.05,0.04,0.12,0.01,1005.92
0.372,-0.11,1.10,0.17,0.58,-0.60,-0.05,0.04,0.12,0.01,1005.92
0.372,-0.11,1.08,0.13,0.58,-0.60,-0.05,0.04,0.12,0.01,1005.92
0.372,-0.11,1.08,0.13,0.58,-0.60,-0.05,0.03,0.07,-0.06,1005.92
0.373,-0.11,1.08,0.13,-0.42,0.78,0.34,0.03,0.07,-0.06,1005.92
0.39,-0.11,1.08,0.13,-0.42,0.78,0.34,0.03,0.07,-0.06,1005.91
0.429,-0.11,1.08,0.13,0.16,0.04,-0.16,0.03,0.07,-0.06,1005.91
0.43,-0.07,1.03,0.10,0.16,0.04,-0.16,0.03,0.07,-0.06,1005.91
0.431,-0.05,1.00,0.09,0.16,0.04,-0.16,0.03,0.07,-0.06,1005.91
0.431,-0.01,0.98,0.10,0.16,0.04,-0.16,0.03,0.07,-0.06,1005.91
0.431,-0.01,0.98,0.10,0.16,0.04,-0.16,0.12,-0.00,-0.08,1005.91
0.468,-0.01,0.98,0.10,0.16,0.04,-0.16,0.12,-0.00,-0.08,1005.90
0.489,-0.02,0.97,0.10,0.16,0.04,-0.16,0.12,-0.00,-0.08,1005.90
0.491,-0.07,0.98,0.10,0.16,0.04,-0.16,0.12,-0.00,-0.08,1005.90
0.492,-0.11,0.99,0.13,0.16,0.04,-0.16,0.12,-0.00,-0.08,1005.90
0.493,-0.11,0.99,0.13,0.16,0.04,-0.16,0.07,0.10,-0.15,1005.90
0.496,-0.11,0.99,0.13,0.02,-0.18,-0.01,0.07,0.10,-0.15,1005.90
0.515,-0.11,0.99,0.13,0.02,-0.18,-0.01,0.07,0.10,-0.15,1005.88
0.547,-0.15,1.01,0.15,0.02,-0.18,-0.01,0.07,0.10,-0.15,1005.88
0.549,-0.15,1.01,0.16,0.02,-0.18,-0.01,0.07,0.10,-0.15,1005.88
0.55,-0.12,1.01,0.15,0.02,-0.18,-0.01,0.07,0.10,-0.15,1005.88
0.551,-0.12,1.01,0.15,0.02,-0.18,-0.01,0.16,0.03,-0.06,1005.88
0.552,-0.12,1.01,0.15,-0.62,0.11,0.47,0.16,0.03,-0.06,1005.88
0.589,-0.12,1.01,0.15,-0.62,0.11,0.47,0.16,0.03,-0.06,1005.89
0.604,-0.11,1.00,0.16,-0.62,0.11,0.47,0.16,0.03,-0.06,1005.89
0.606,-0.09,0.99,0.18,-0.62,0.11,0.47,0.16,0.03,-0.06,1005.89
0.606,-0.09,0.99,0.13,-0.62,0.11,0.47,0.16,0.03,-0.06,1005.89
0.606,-0.09,0.99,0.13,-0.62,0.11,0.47,0.38,0.18,0.11,1005.89
0.607,-0.09,0.99,0.13,-0.24,-0.09,0.70,0.38,0.18,0.11,1005.89
0.669,-0.16,1.00,0.14,-0.24,-0.09,0.70,0.38,0.18,0.11,1005.89
0.67,-0.20,0.99,0.25,-0.24,-0.09,0.70,0.38,0.18,0.11,1005.89
0.671,-0.15,0.96,0.28,-0.24,-0.09,0.70,0.38,0.18,0.11,1005.89
0.672,-0.15,0.96,0.28,-1.08,-0.21,1.60,0.38,0.18,0.11,1005.89
0.673,-0.15,0.96,0.28,-1.08,-0.21,1.60,0.51,0.41,0.34,1005.89
0.674,-0.15,0.96,0.28,-1.08,-0.21,1.60,0.51,0.41,0.34,1005.90
