
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.059645,0.0000,0.0000,0.0000,-0.0453,0.0192,0.0609,0.0000,0.0000,0.0000,
0.060314,0.0474,0.9745,0.1917,-0.0453,0.0192,0.0609,0.0000,0.0000,0.0000,
0.060667,0.0474,0.9745,0.1917,-0.0453,0.0192,0.0609,0.0000,0.0000,0.0000,
0.060907,0.0474,0.9745,0.1917,-0.0453,0.0192,0.0609,0.0000,0.0000,0.0000,
0.061148,0.0474,0.9745,0.1917,-0.0453,0.0192,0.0609,-0.1106,0.2608,0.0265,
0.118813,0.0474,0.9745,0.1917,-0.1084,-0.0215,-0.2108,-0.1106,0.2608,0.0265,
0.119951,0.0671,0.9334,0.1069,-0.1084,-0.0215,-0.2108,-0.1106,0.2608,0.0265,
0.120681,0.0364,0.9715,0.1416,-0.1084,-0.0215,-0.2108,-0.1106,0.2608,0.0265,
0.121357,-0.0090,1.0086,0.1819,-0.1084,-0.0215,-0.2108,-0.1106,0.2608,0.0265,
0.121965,-0.0090,1.0086,0.1819,-0.1084,-0.0215,-0.2108,0.1598,-0.2113,-0.1077,
0.176238,-0.0168,1.0074,0.1590,-0.1084,-0.0215,-0.2108,0.1598,-0.2113,-0.1077,
0.177108,-0.0129,0.9642,0.1218,-0.1084,-0.0215,-0.2108,0.1598,-0.2113,-0.1077,
0.177697,-0.0042,0.9388,0.1008,-0.1084,-0.0215,-0.2108,0.1598,-0.2113,-0.1077,
0.178270,-0.0042,0.9388,0.1008,-0.1084,-0.0215,-0.2108,0.1496,0.0242,-0.0378,
0.178775,-0.0042,0.9388,0.1008,-0.3786,-0.0349,-0.2157,0.1496,0.0242,-0.0378,
0.234875,-0.0042,0.9388,0.1008,-0.0474,0.2985,-0.0122,0.1496,0.0242,-0.0378,
0.235735,0.0049,0.9745,0.1128,-0.0474,0.2985,-0.0122,0.1496,0.0242,-0.0378,
0.236228,0.0181,1.0279,0.1504,-0.0474,0.2985,-0.0122,0.1496,0.0242,-0.0378,
0.236765,0.0439,1.0340,0.1721,-0.0474,0.2985,-0.0122,0.1496,0.0242,-0.0378,
0.237240,0.0439,1.0340,0.1721,-0.0474,0.2985,-0.0122,0.0472,0.0888,0.0316,
