time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.014,-0.24,0.44,0.89,-0.01,0.00,-0.01,-0.01,0.01,0.00,1008.83
0.014,-0.24,0.44,0.90,-0.01,0.00,-0.01,-0.01,0.01,0.00,1008.83
0.014,-0.24,0.44,0.89,-0.01,0.00,-0.01,-0.01,0.01,0.00,1008.83
0.015,-0.24,0.44,0.90,-0.01,0.00,-0.01,-0.01,0.01,0.00,1008.83
0.015,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.83
0.015,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.83
0.05,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.85
0.068,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.85
0.069,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.85
0.069,-0.24,0.44,0.90,-0.01,0.00,-0.01,0.01,-0.01,-0.00,1008.85
0.069,-0.24,0.44,0.90,0.02,0.01,0.00,0.01,-0.01,-0.00,1008.85
0.069,-0.24,0.44,0.90,0.02,0.01,0.00,0.00,-0.01,-0.00,1008.85
0.127,-0.24,0.44,0.90,0.02,0.01,0.00,0.00,-0.01,-0.00,1008.85
0.127,-0.24,0.45,0.89,0.02,0.01,0.00,0.00,-0.01,-0.00,1008.85
0.127,-0.24,0.45,0.90,0.02,0.01,0.00,0.00,-0.01,-0.00,1008.85
0.127,-0.24,0.45,0.90,0.02,0.01,0.00,0.00,0.01,0.00,1008.85
0.128,-0.24,0.45,0.90,0.02,0.03,-0.02,0.00,0.01,0.00,1008.85
0.13,-0.24,0.45,0.90,0.02,0.03,-0.02,0.00,0.01,0.00,1008.84
0.185,-0.24,0.44,0.90,0.02,0.03,-0.02,0.00,0.01,0.00,1008.84
0.186,-0.24,0.44,0.90,0.02,0.03,-0.02,0.00,0.01,0.00,1008.84
0.186,-0.24,0.44,0.90,0.02,0.03,-0.02,0.00,0.01,0.00,1008.84
0.186,-0.24,0.44,0.90,0.02,0.03,-0.02,-0.01,0.00,0.00,1008.84
0.186,-0.24,0.44,0.90,0.01,0.00,0.01,-0.01,0.00,0.00,1008.84
0.21,-0.24,0.44,0.90,0.01,0.00,0.01,-0.01,0.00,0.00,1008.83
0.243,-0.23,0.44,0.90,0.01,0.00,0.01,-0.01,0.00,0.00,1008.83
0.243,-0.24,0.44,0.91,0.01,0.00,0.01,-0.01,0.00,0.00,1008.83
0.244,-0.23,0.44,0.91,0.01,0.00,0.01,-0.01,0.00,0.00,1008.83
0.244,-0.23,0.44,0.91,0.01,0.00,0.01,-0.01,0.00,-0.00,1008.83
0.244,-0.23,0.44,0.91,0.07,0.01,0.08,-0.01,0.00,-0.00,1008.83
0.25,-0.23,0.44,0.91,0.07,0.01,0.08,-0.01,0.00,-0.00,1008.84
0.302,-0.23,0.44,0.91,0.34,-0.05,0.12,-0.01,0.00,-0.00,1008.84
0.303,-0.22,0.44,0.91,0.34,-0.05,0.12,-0.01,0.00,-0.00,1008.84
0.303,-0.21,0.44,0.90,0.34,-0.05,0.12,-0.01,0.00,-0.00,1008.84
0.304,-0.17,0.43,0.92,0.34,-0.05,0.12,-0.01,0.00,-0.00,1008.84
0.304,-0.17,0.43,0.92,0.34,-0.05,0.12,-0.00,-0.01,0.05,1008.84
0.33,-0.17,0.43,0.92,0.34,-0.05,0.12,-0.00,-0.01,0.05,1008.84
0.36,-0.16,0.40,0.93,0.34,-0.05,0.12,-0.00,-0.01,0.05,1008.84
0.361,-0.10,0.39,0.94,0.34,-0.05,0.12,-0.00,-0.01,0.05,1008.84
0.361,-0.03,0.38,0.95,0.34,-0.05,0.12,-0.00,-0.01,0.05,1008.84
0.361,-0.03,0.38,0.95,0.34,-0.05,0.12,0.11,0.07,0.37,1008.84
0.362,-0.03,0.38,0.95,1.28,-0.59,0.42,0.11,0.07,0.37,1008.84
0.41,-0.03,0.38,0.95,1.28,-0.59,0.42,0.11,0.07,0.37,1008.84
0.423,-0.03,0.38,0.95,2.14,-1.06,-0.08,0.11,0.07,0.37,1008.84
0.423,-0.03,0.37,0.91,2.14,-1.06,-0.08,0.11,0.07,0.37,1008.84
0.423,0.01,0.35,0.87,2.14,-1.06,-0.08,0.11,0.07,0.37,1008.84
0.424,0.03,0.39,0.84,2.14,-1.06,-0.08,0.11,0.07,0.37,1008.84
0.424,0.03,0.39,0.84,2.14,-1.06,-0.08,0.40,0.53,1.04,1008.84
0.45,0.03,0.39,0.84,2.14,-1.06,-0.08,0.40,0.53,1.04,1008.84
0.477,0.03,0.37,0.79,2.14,-1.06,-0.08,0.40,0.53,1.04,1008.84
0.478,0.04,0.35,0.84,2.14,-1.06,-0.08,0.40,0.53,1.04,1008.84
0.478,-0.02,0.40,0.86,2.14,-1.06,-0.08,0.40,0.53,1.04,1008.84
0.478,-0.02,0.40,0.86,2.14,-1.06,-0.08,0.80,0.65,1.80,1008.84
0.478,-0.02,0.40,0.86,1.97,-1.59,-0.17,0.80,0.65,1.80,1008.84
0.53,-0.02,0.40,0.86,1.97,-1.59,-0.17,0.80,0.65,1.80,1008.83
0.535,-0.02,0.45,0.76,1.97,-1.59,-0.17,0.80,0.65,1.80,1008.83
0.536,0.03,0.54,0.52,1.97,-1.59,-0.17,0.80,0.65,1.80,1008.83
0.536,-0.02,0.65,0.34,1.97,-1.59,-0.17,0.80,0.65,1.80,1008.83
0.537,-0.02,0.65,0.34,1.97,-1.59,-0.17,1.58,-0.29,2.35,1008.83
0.538,-0.02,0.65,0.34,0.87,-0.83,-2.43,1.58,-0.29,2.35,1008.83
0.594,-0.13,0.66,0.10,0.87,-0.83,-2.43,1.58,-0.29,2.35,1008.83
0.596,-0.32,0.59,-0.12,0.87,-0.83,-2.43,1.58,-0.29,2.35,1008.83
0.597,-0.37,0.73,-0.01,0.87,-0.83,-2.43,1.58,-0.29,2.35,1008.83
0.597,-0.37,0.73,-0.01,0.87,-0.83,-2.43,1.02,-2.52,2.23,1008.83
0.598,-0.37,0.73,-0.01,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.83
0.61,-0.37,0.73,-0.01,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.81
0.651,-0.37,0.73,-0.01,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.76
0.655,-0.21,0.84,0.47,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.76
0.656,-0.13,0.74,0.62,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.76
0.657,0.31,0.67,0.49,-3.61,-0.16,-7.16,1.02,-2.52,2.23,1008.76
0.658,0.31,0.67,0.49,-3.61,-0.16,-7.16,0.51,-5.92,2.35,1008.76
0.659,0.31,0.67,0.49,-4.05,0.87,-0.74,0.51,-5.92,2.35,1008.76
0.712,1.02,0.60,0.37,-4.05,0.87,-0.74,0.51,-5.92,2.35,1008.76
0.713,1.36,0.67,0.36,-4.05,0.87,-0.74,0.51,-5.92,2.35,1008.76
0.714,0.82,0.89,0.37,-4.05,0.87,-0.74,0.51,-5.92,2.35,1008.76
0.715,0.82,0.89,0.37,4.84,0.18,-0.41,0.51,-5.92,2.35,1008.76
0.716,0.82,0.89,0.37,4.84,0.18,-0.41,1.91,-4.14,0.71,1008.76
0.736,0.82,0.89,0.37,4.84,0.18,-0.41,1.91,-4.14,0.71,1008.75
0.769,0.43,0.96,0.50,4.84,0.18,-0.41,1.91,-4.14,0.71,1008.75
0.77,0.45,0.90,0.53,4.84,0.18,-0.41,1.91,-4.14,0.71,1008.75
0.771,0.50,0.85,0.53,4.84,0.18,-0.41,1.91,-4.14,0.71,1008.75
0.771,0.50,0.85,0.53,4.84,0.18,-0.41,1.51,0.77,-0.56,1008.75
0.772,0.50,0.85,0.53,-0.66,1.45,1.40,1.51,0.77,-0.56,1008.75
0.811,0.50,0.85,0.53,-0.66,1.45,1.40,1.51,0.77,-0.56,1008.82
0.828,0.48,0.86,0.53,-0.66,1.45,1.40,1.51,0.77,-0.56,1008.82
0.829,0.40,0.88,0.54,-0.66,1.45,1.40,1.51,0.77,-0.56,1008.82
0.829,0.33,0.93,0.54,-0.66,1.45,1.40,1.51,0.77,-0.56,1008.82
0.83,0.33,0.93,0.54,-0.56,0.78,1.61,1.51,0.77,-0.56,1008.82
0.83,0.33,0.93,0.54,-0.56,0.78,1.61,1.40,1.83,-0.69,1008.82
0.85,0.33,0.93,0.54,-0.56,0.78,1.61,1.40,1.83,-0.69,1008.84
0.885,0.28,0.95,0.52,-0.56,0.78,1.61,1.40,1.83,-0.69,1008.84
0.886,0.26,0.96,0.46,-0.56,0.78,1.61,1.40,1.83,-0.69,1008.84
0.887,0.27,0.93,0.42,-0.56,0.78,1.61,1.40,1.83,-0.69,1008.84
0.887,0.27,0.93,0.42,-0.56,0.78,1.61,1.41,0.52,-0.74,1008.84
0.887,0.27,0.93,0.42,-1.35,0.88,1.46,1.41,0.52,-0.74,1008.84
0.93,0.27,0.93,0.42,-1.35,0.88,1.46,1.41,0.52,-0.74,1008.83
0.944,0.31,0.89,0.42,-1.35,0.88,1.46,1.41,0.52,-0.74,1008.83
0.945,0.35,0.88,0.44,-1.35,0.88,1.46,1.41,0.52,-0.74,1008.83
0.945,0.38,0.91,0.42,-1.35,0.88,1.46,1.41,0.52,-0.74,1008.83
0.946,0.38,0.91,0.42,-1.35,0.88,1.46,1.18,-0.93,-0.74,1008.83
0.946,0.38,0.91,0.42,-0.33,-0.02,1.80,1.18,-0.93,-0.74,1008.83
1.003,0.44,0.93,0.39,-0.33,-0.02,1.80,1.18,-0.93,-0.74,1008.83
1.004,0.45,0.95,0.34,-0.33,-0.02,1.80,1.18,-0.93,-0.74,1008.83
1.004,0.40,0.97,0.32,-0.33,-0.02,1.80,1.18,-0.93,-0.74,1008.83
1.005,0.40,0.97,0.32,0.78,0.26,1.62,1.18,-0.93,-0.74,1008.83
1.005,0.40,0.97,0.32,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.83
1.01,0.40,0.97,0.32,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.83
1.051,0.40,0.97,0.32,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.85
1.06,0.36,0.97,0.32,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.85
1.062,0.35,0.97,0.32,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.85
1.063,0.36,0.98,0.31,0.78,0.26,1.62,1.10,-0.31,-0.79,1008.85
1.064,0.36,0.98,0.31,0.78,0.26,1.62,1.00,0.13,-0.78,1008.85
1.065,0.36,0.98,0.31,0.50,0.22,1.78,1.00,0.13,-0.78,1008.85
1.123,0.39,0.97,0.26,0.50,0.22,1.78,1.00,0.13,-0.78,1008.85
1.124,0.40,0.95,0.22,0.50,0.22,1.78,1.00,0.13,-0.78,1008.85
1.125,0.37,0.95,0.16,0.50,0.22,1.78,1.00,0.13,-0.78,1008.85
1.125,0.37,0.95,0.16,1.19,-0.10,1.31,1.00,0.13,-0.78,1008.85
1.126,0.37,0.95,0.16,1.19,-0.10,1.31,0.95,-0.09,-0.77,1008.85
1.13,0.37,0.95,0.16,1.19,-0.10,1.31,0.95,-0.09,-0.77,1008.85
1.176,0.34,0.96,0.09,1.19,-0.10,1.31,0.95,-0.09,-0.77,1008.85
1.177,0.34,0.95,0.04,1.19,-0.10,1.31,0.95,-0.09,-0.77,1008.85
1.177,0.24,0.94,0.11,1.19,-0.10,1.31,0.95,-0.09,-0.77,1008.85
1.178,0.24,0.94,0.11,1.19,-0.10,1.31,0.92,-0.51,-0.84,1008.85
1.181,0.24,0.94,0.11,0.82,-0.33,0.53,0.92,-0.51,-0.84,1008.85
1.21,0.24,0.94,0.11,0.82,-0.33,0.53,0.92,-0.51,-0.84,1008.85
1.234,0.17,1.25,-0.09,0.82,-0.33,0.53,0.92,-0.51,-0.84,1008.85
1.235,0.54,1.84,0.10,0.82,-0.33,0.53,0.92,-0.51,-0.84,1008.85
1.236,0.74,1.97,0.22,0.82,-0.33,0.53,0.92,-0.51,-0.84,1008.85
1.236,0.74,1.97,0.22,0.82,-0.33,0.53,0.27,-0.71,-0.69,1008.85
1.237,0.74,1.97,0.22,2.88,6.64,0.73,0.27,-0.71,-0.69,1008.85
1.25,0.74,1.97,0.22,2.88,6.64,0.73,0.27,-0.71,-0.69,1008.84
1.293,0.53,1.05,0.01,2.88,6.64,0.73,0.27,-0.71,-0.69,1008.84
1.294,0.26,0.55,-0.37,2.88,6.64,0.73,0.27,-0.71,-0.69,1008.84
1.295,-0.13,0.51,-0.29,2.88,6.64,0.73,0.27,-0.71,-0.69,1008.84
1.295,-0.13,0.51,-0.29,2.88,6.64,0.73,0.85,0.80,-1.12,1008.84
1.296,-0.13,0.51,-0.29,0.90,-3.02,-1.67,0.85,0.80,-1.12,1008.84
1.332,-0.13,0.51,-0.29,0.90,-3.02,-1.67,0.85,0.80,-1.12,1008.80
1.361,-0.49,0.72,0.05,0.90,-3.02,-1.67,0.85,0.80,-1.12,1008.80
1.363,-0.50,1.11,-0.02,0.90,-3.02,-1.67,0.85,0.80,-1.12,1008.80
