
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.062213,-0.2451,0.7169,0.6656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.062886,-0.2451,0.7169,0.6656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063123,-0.2451,0.7169,0.6656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063365,-0.2451,0.7169,0.6656,0.0000,0.0000,0.0000,0.4129,0.0782,0.1505,
0.063700,-0.2451,0.7169,0.6656,0.0206,-0.1261,0.1088,0.4129,0.0782,0.1505,
0.120512,-0.2466,0.7110,0.6483,0.0206,-0.1261,0.1088,0.4129,0.0782,0.1505,
0.121131,-0.2383,0.7232,0.6448,0.0206,-0.1261,0.1088,0.4129,0.0782,0.1505,
0.121487,-0.2405,0.7313,0.6414,0.0206,-0.1261,0.1088,0.4129,0.0782,0.1505,
0.121954,-0.2405,0.7313,0.6414,0.0206,-0.1261,0.1088,0.0959,-0.0334,0.0271,
0.122286,-0.2405,0.7313,0.6414,0.0197,-0.0781,-0.0394,0.0959,-0.0334,0.0271,
0.179168,-0.2405,0.7313,0.6414,-0.1015,-0.0967,-0.0526,0.0959,-0.0334,0.0271,
0.180094,-0.2559,0.7244,0.6390,-0.1015,-0.0967,-0.0526,0.0959,-0.0334,0.0271,
0.180732,-0.2581,0.7252,0.6336,-0.1015,-0.0967,-0.0526,0.0959,-0.0334,0.0271,
0.181324,-0.2512,0.7210,0.6319,-0.1015,-0.0967,-0.0526,0.0959,-0.0334,0.0271,
0.181960,-0.2512,0.7210,0.6319,-0.1015,-0.0967,-0.0526,0.1712,-0.0315,0.0318,
0.237471,-0.2483,0.7354,0.6277,-0.1015,-0.0967,-0.0526,0.1712,-0.0315,0.0318,
0.238384,-0.2442,0.7449,0.6285,-0.1015,-0.0967,-0.0526,0.1712,-0.0315,0.0318,
0.238963,-0.2512,0.7401,0.6199,-0.1015,-0.0967,-0.0526,0.1712,-0.0315,0.0318,
0.239542,-0.2512,0.7401,0.6199,-0.1015,-0.0967,-0.0526,0.2626,-0.0596,0.0175,
0.240044,-0.2512,0.7401,0.6199,-0.0482,-0.0254,-0.0340,0.2626,-0.0596,0.0175,
0.296646,-0.2654,0.7264,0.6050,-0.0482,-0.0254,-0.0340,0.2626,-0.0596,0.0175,
0.297669,-0.2762,0.7130,0.5928,-0.0482,-0.0254,-0.0340,0.2626,-0.0596,0.0175,
0.298264,-0.2639,0.7047,0.5831,-0.0482,-0.0254,-0.0340,0.2626,-0.0596,0.0175,
0.298909,-0.2639,0.7047,0.5831,-0.0482,-0.0254,-0.0340,0.3812,-0.1580,0.0074,
0.299525,-0.2639,0.7047,0.5831,-0.2577,-0.3429,-0.1695,0.3812,-0.1580,0.0074,
0.354158,-0.2346,0.7081,0.5577,-0.2577,-0.3429,-0.1695,0.3812,-0.1580,0.0074,
0.355131,-0.2381,0.7000,0.5342,-0.2577,-0.3429,-0.1695,0.3812,-0.1580,0.0074,
0.355812,-0.2503,0.6646,0.5091,-0.2577,-0.3429,-0.1695,0.3812,-0.1580,0.0074,
0.356408,-0.2503,0.6646,0.5091,-0.2577,-0.3429,-0.1695,0.5477,-0.2433,0.0414,
0.356927,-0.2503,0.6646,0.5091,-0.0768,-0.6595,-0.4736,0.5477,-0.2433,0.0414,
0.412869,-0.2503,0.6646,0.5091,-0.0109,-1.2602,-0.5964,0.5477,-0.2433,0.0414,
0.413861,-0.2537,0.6336,0.4839,-0.0109,-1.2602,-0.5964,0.5477,-0.2433,0.0414,
0.414499,-0.2271,0.6285,0.4827,-0.0109,-1.2602,-0.5964,0.5477,-0.2433,0.0414,
0.414939,-0.1853,0.6485,0.4810,-0.0109,-1.2602,-0.5964,0.5477,-0.2433,0.0414,
0.415341,-0.1853,0.6485,0.4810,-0.0109,-1.2602,-0.5964,0.7572,-0.3154,0.0436,
0.472198,-0.1582,0.6578,0.4583,-0.0109,-1.2602,-0.5964,0.7572,-0.3154,0.0436,
0.473814,-0.1790,0.6654,0.4441,-0.0109,-1.2602,-0.5964,0.7572,-0.3154,0.0436,
0.475196,-0.1988,0.6883,0.4407,-0.0109,-1.2602,-0.5964,0.7572,-0.3154,0.0436,
0.476159,-0.1988,0.6883,0.4407,-0.0109,-1.2602,-0.5964,0.9336,-0.3730,0.0357,
0.477159,-0.1988,0.6883,0.4407,0.2546,-1.0801,-0.5042,0.9336,-0.3730,0.0357,
0.530894,-0.1941,0.7337,0.4434,0.2546,-1.0801,-0.5042,0.9336,-0.3730,0.0357,
0.533356,-0.1651,0.7811,0.4353,0.2546,-1.0801,-0.5042,0.9336,-0.3730,0.0357,
0.535281,-0.1402,0.8106,0.4178,0.2546,-1.0801,-0.5042,0.9336,-0.3730,0.0357,
0.537177,-0.1402,0.8106,0.4178,0.1495,-0.3430,-0.1743,0.9336,-0.3730,0.0357,
0.539484,-0.1402,0.8106,0.4178,0.1495,-0.3430,-0.1743,1.1348,-0.4897,0.1644,
0.590585,-0.1402,0.8106,0.4178,0.1490,-0.1371,0.0841,1.1348,-0.4897,0.1644,
0.593782,-0.1336,0.8172,0.4017,0.1490,-0.1371,0.0841,1.1348,-0.4897,0.1644,
0.595637,-0.1485,0.8162,0.4017,0.1490,-0.1371,0.0841,1.1348,-0.4897,0.1644,
0.596434,-0.1292,0.8538,0.4060,0.1490,-0.1371,0.0841,1.1348,-0.4897,0.1644,
0.597260,-0.1292,0.8538,0.4060,0.1490,-0.1371,0.0841,1.2737,-0.5331,0.3057,
0.646868,-0.0850,0.9151,0.3870,0.1490,-0.1371,0.0841,1.2737,-0.5331,0.3057,
0.649769,-0.0718,0.9508,0.3611,0.1490,-0.1371,0.0841,1.2737,-0.5331,0.3057,
0.651732,-0.1065,0.9347,0.3492,0.1490,-0.1371,0.0841,1.2737,-0.5331,0.3057,
0.653692,-0.1065,0.9347,0.3492,0.3127,0.5369,0.2904,1.2737,-0.5331,0.3057,
0.655945,-0.1065,0.9347,0.3492,0.3127,0.5369,0.2904,1.3036,-0.5219,0.3716,
0.706302,-0.1345,0.9068,0.3536,0.3127,0.5369,0.2904,1.3036,-0.5219,0.3716,
0.709216,-0.1121,0.9237,0.3494,0.3127,0.5369,0.2904,1.3036,-0.5219,0.3716,
0.710622,-0.0547,0.9632,0.3345,0.3127,0.5369,0.2904,1.3036,-0.5219,0.3716,
0.711922,-0.0547,0.9632,0.3345,-0.0914,0.2506,0.6521,1.3036,-0.5219,0.3716,
0.713955,-0.0547,0.9632,0.3345,-0.0914,0.2506,0.6521,1.2602,-0.5113,0.3887,
0.765534,-0.0139,0.9847,0.3091,-0.0914,0.2506,0.6521,1.2602,-0.5113,0.3887,
0.767749,-0.0310,0.9793,0.2764,-0.0914,0.2506,0.6521,1.2602,-0.5113,0.3887,
0.769595,-0.0603,0.9503,0.2713,-0.0914,0.2506,0.6521,1.2602,-0.5113,0.3887,
0.771904,-0.0603,0.9503,0.2713,-0.0914,0.2506,0.6521,1.1729,-0.6253,0.3592,
0.774738,-0.0603,0.9503,0.2713,0.2530,0.4286,0.6019,1.1729,-0.6253,0.3592,
0.823388,-0.0435,0.9598,0.2556,0.2530,0.4286,0.6019,1.1729,-0.6253,0.3592,
0.827362,-0.0335,1.0040,0.2427,0.2530,0.4286,0.6019,1.1729,-0.6253,0.3592,
0.829381,-0.0286,1.0416,0.2390,0.2530,0.4286,0.6019,1.1729,-0.6253,0.3592,
0.831104,-0.0286,1.0416,0.2390,0.2530,0.4286,0.6019,1.0941,-0.5673,0.3303,
0.833126,-0.0286,1.0416,0.2390,0.0116,0.5552,0.7286,1.0941,-0.5673,0.3303,
0.880137,-0.0083,1.0782,0.2178,0.0116,0.5552,0.7286,1.0941,-0.5673,0.3303,
0.883049,-0.0190,1.1180,0.1843,0.0116,0.5552,0.7286,1.0941,-0.5673,0.3303,
0.884618,-0.0347,1.1534,0.1890,0.0116,0.5552,0.7286,1.0941,-0.5673,0.3303,
0.887022,-0.0347,1.1534,0.1890,0.0116,0.5552,0.7286,0.9318,-0.2830,0.2883,
0.888940,-0.0347,1.1534,0.1890,-0.0255,1.4977,0.7052,0.9318,-0.2830,0.2883,
0.940354,-0.0376,1.1801,0.1983,-0.0255,1.4977,0.7052,0.9318,-0.2830,0.2883,
0.943715,-0.0337,1.1918,0.1843,-0.0255,1.4977,0.7052,0.9318,-0.2830,0.2883,
0.946206,-0.0225,1.1688,0.1746,-0.0255,1.4977,0.7052,0.9318,-0.2830,0.2883,
0.948231,-0.0225,1.1688,0.1746,-0.0255,1.4977,0.7052,0.7349,0.0568,0.2879,
0.950404,-0.0225,1.1688,0.1746,-0.2687,1.9539,0.9414,0.7349,0.0568,0.2879,
0.997469,0.0991,1.1632,0.2261,-0.2687,1.9539,0.9414,0.7349,0.0568,0.2879,
1.000199,0.3076,1.3471,0.0115,-0.2687,1.9539,0.9414,0.7349,0.0568,0.2879,
1.001960,0.1438,1.3275,-0.0144,-0.2687,1.9539,0.9414,0.7349,0.0568,0.2879,
1.003596,0.1438,1.3275,-0.0144,-0.2687,1.9539,0.9414,0.7104,-0.0179,0.5504,
1.006318,0.1438,1.3275,-0.0144,1.4417,2.7390,0.2355,0.7104,-0.0179,0.5504,
1.057451,-0.0337,1.2106,0.0342,1.4417,2.7390,0.2355,0.7104,-0.0179,0.5504,
1.065284,-0.1008,1.0753,0.0967,1.4417,2.7390,0.2355,0.7104,-0.0179,0.5504,
1.068168,-0.0068,1.0057,0.0303,1.4417,2.7390,0.2355,0.7104,-0.0179,0.5504,
1.071494,-0.0068,1.0057,0.0303,1.4417,2.7390,0.2355,0.5058,-0.1875,0.5286,
1.073826,-0.0068,1.0057,0.0303,-1.0652,0.9097,0.3106,0.5058,-0.1875,0.5286,
1.112760,0.1382,1.0008,-0.0447,-1.0652,0.9097,0.3106,0.5058,-0.1875,0.5286,
1.113870,0.2771,1.1127,-0.1326,-1.0652,0.9097,0.3106,0.5058,-0.1875,0.5286,
1.114702,0.1836,1.2391,-0.1467,-1.0652,0.9097,0.3106,0.5058,-0.1875,0.5286,
1.115380,0.1836,1.2391,-0.1467,-1.0652,0.9097,0.3106,0.5369,-0.2857,0.2784,
1.115911,0.1836,1.2391,-0.1467,1.1330,1.0625,-0.9068,0.5369,-0.2857,0.2784,
1.172568,-0.0542,1.1451,-0.0227,1.1330,1.0625,-0.9068,0.5369,-0.2857,0.2784,
1.173897,-0.0779,1.0079,0.0244,1.1330,1.0625,-0.9068,0.5369,-0.2857,0.2784,
1.175093,0.0493,1.0057,-0.0527,1.1330,1.0625,-0.9068,0.5369,-0.2857,0.2784,
1.176226,0.0493,1.0057,-0.0527,-1.1303,0.4228,0.2127,0.5369,-0.2857,0.2784,
1.177176,0.0493,1.0057,-0.0527,-1.1303,0.4228,0.2127,0.4113,-0.0267,0.1613,
1.230602,0.1216,1.0050,-0.0874,-1.1303,0.4228,0.2127,0.4113,-0.0267,0.1613,
1.233214,0.1157,0.9996,-0.1023,-1.1303,0.4228,0.2127,0.4113,-0.0267,0.1613,
