time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,0.12,0.94,0.41,0.05,0.03,-0.37,-0.03,0.12,-0.00,1005.94
0.022,0.20,0.96,0.17,0.05,0.03,-0.37,-0.03,0.12,-0.00,1005.94
0.023,0.22,0.96,0.29,0.05,0.03,-0.37,-0.03,0.12,-0.00,1005.94
0.023,0.20,0.96,0.25,0.05,0.03,-0.37,-0.03,0.12,-0.00,1005.94
0.024,0.20,0.96,0.25,-0.09,-0.06,0.49,-0.03,0.12,-0.00,1005.94
0.024,0.20,0.96,0.25,-0.09,-0.06,0.49,0.07,-0.11,-0.02,1005.94
0.046,0.20,0.96,0.25,-0.09,-0.06,0.49,0.07,-0.11,-0.02,1005.95
0.081,0.18,0.97,0.28,-0.09,-0.06,0.49,0.07,-0.11,-0.02,1005.95
0.082,0.15,0.95,0.27,-0.09,-0.06,0.49,0.07,-0.11,-0.02,1005.95
0.082,0.15,0.93,0.25,-0.09,-0.06,0.49,0.07,-0.11,-0.02,1005.95
0.082,0.15,0.93,0.25,-0.09,-0.06,0.49,0.03,0.00,-0.03,1005.95
0.083,0.15,0.93,0.25,0.22,0.04,0.05,0.03,0.00,-0.03,1005.95
0.125,0.15,0.93,0.25,0.22,0.04,0.05,0.03,0.00,-0.03,1005.94
0.139,0.17,0.95,0.26,0.22,0.04,0.05,0.03,0.00,-0.03,1005.94
0.139,0.20,0.97,0.25,0.22,0.04,0.05,0.03,0.00,-0.03,1005.94
0.14,0.21,0.98,0.24,0.22,0.04,0.05,0.03,0.00,-0.03,1005.94
0.14,0.21,0.98,0.24,0.22,0.04,0.05,-0.02,0.03,0.00,1005.94
0.14,0.21,0.98,0.24,-0.17,-0.12,-0.10,-0.02,0.03,0.00,1005.94
0.198,0.20,0.98,0.27,-0.17,-0.12,-0.10,-0.02,0.03,0.00,1005.94
0.199,0.18,0.98,0.29,-0.17,-0.12,-0.10,-0.02,0.03,0.00,1005.94
0.199,0.16,0.95,0.30,-0.17,-0.12,-0.10,-0.02,0.03,0.00,1005.94
0.199,0.16,0.95,0.30,-0.17,-0.12,-0.10,-0.02,0.07,-0.03,1005.94
0.199,0.16,0.95,0.30,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.203,0.16,0.95,0.30,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.243,0.16,0.95,0.30,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.256,0.15,0.93,0.29,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.256,0.15,0.94,0.27,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.256,0.17,0.96,0.27,0.30,0.19,-0.16,-0.02,0.07,-0.03,1005.94
0.257,0.17,0.96,0.27,0.30,0.19,-0.16,0.01,0.08,-0.02,1005.94
0.257,0.17,0.96,0.27,-0.10,-0.07,0.22,0.01,0.08,-0.02,1005.94
0.314,0.17,0.97,0.27,-0.10,-0.07,0.22,0.01,0.08,-0.02,1005.94
0.315,0.16,0.97,0.26,-0.10,-0.07,0.22,0.01,0.08,-0.02,1005.94
0.315,0.15,0.97,0.26,-0.10,-0.07,0.22,0.01,0.08,-0.02,1005.94
0.315,0.15,0.97,0.26,-0.10,-0.07,0.22,-0.01,0.09,-0.00,1005.94
0.315,0.15,0.97,0.26,-0.05,-0.04,-0.04,-0.01,0.09,-0.00,1005.94
0.323,0.15,0.97,0.26,-0.05,-0.04,-0.04,-0.01,0.09,-0.00,1005.93
0.372,0.15,0.97,0.27,-0.05,-0.04,-0.04,-0.01,0.09,-0.00,1005.93
0.374,0.16,0.97,0.30,-0.05,-0.04,-0.04,-0.01,0.09,-0.00,1005.93
0.374,0.17,0.97,0.31,-0.05,-0.04,-0.04,-0.01,0.09,-0.00,1005.93
0.374,0.17,0.97,0.31,-0.05,-0.04,-0.04,-0.01,-0.00,0.05,1005.93
0.374,0.17,0.97,0.31,-0.17,0.13,-0.09,-0.01,-0.00,0.05,1005.93
0.403,0.17,0.97,0.31,-0.17,0.13,-0.09,-0.01,-0.00,0.05,1005.93
0.431,0.19,1.01,0.32,-0.17,0.13,-0.09,-0.01,-0.00,0.05,1005.93
