time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.01,-0.08,1.00,0.09,-0.07,0.03,0.26,0.01,0.04,-0.01,1005.92
0.011,-0.08,1.00,0.09,-0.07,0.03,0.26,0.08,0.00,0.00,1005.92
0.022,-0.08,1.00,0.09,-0.07,0.03,0.26,0.08,0.00,0.00,1005.92
0.029,-0.04,1.00,0.04,-0.07,0.03,0.26,0.08,0.00,0.00,1005.92
0.03,-0.04,1.00,0.06,-0.07,0.03,0.26,0.08,0.00,0.00,1005.92
0.03,-0.06,1.01,0.06,-0.07,0.03,0.26,0.08,0.00,0.00,1005.92
0.068,-0.06,1.01,0.06,-0.07,0.03,0.26,0.12,0.02,-0.02,1005.92
0.069,-0.06,1.01,0.06,0.10,-0.02,0.18,0.12,0.02,-0.02,1005.92
0.088,-0.05,1.01,0.05,0.10,-0.02,0.18,0.12,0.02,-0.02,1005.92
0.089,-0.05,1.01,0.02,0.10,-0.02,0.18,0.12,0.02,-0.02,1005.92
0.089,-0.04,1.02,0.00,0.10,-0.02,0.18,0.12,0.02,-0.02,1005.92
0.099,-0.04,1.02,0.00,0.10,-0.02,0.18,0.12,0.02,-0.02,1005.92
0.127,-0.04,1.02,0.00,0.14,0.09,-0.05,0.12,0.02,-0.02,1005.92
0.128,-0.04,1.02,0.00,0.14,0.09,-0.05,0.16,0.08,-0.09,1005.92
0.146,-0.06,1.03,-0.01,0.14,0.09,-0.05,0.16,0.08,-0.09,1005.92
0.146,-0.09,1.02,-0.02,0.14,0.09,-0.05,0.16,0.08,-0.09,1005.92
0.147,-0.09,1.01,-0.11,0.14,0.09,-0.05,0.16,0.08,-0.09,1005.92
0.18,-0.09,1.01,-0.11,0.14,0.09,-0.05,0.16,0.08,-0.09,1005.92
0.184,-0.09,1.01,-0.11,0.14,0.09,-0.05,0.32,0.30,-0.12,1005.92
0.185,-0.09,1.01,-0.11,-0.12,0.13,-0.50,0.32,0.30,-0.12,1005.92
0.205,-0.06,1.00,-0.07,-0.12,0.13,-0.50,0.32,0.30,-0.12,1005.92
