time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,-0.05,1.02,0.04,-0.06,0.04,0.03,0.01,-0.00,-0.01,1005.93
0.045,-0.05,1.02,0.04,-0.06,0.04,0.03,0.01,-0.00,-0.01,1005.93
0.046,-0.05,1.00,0.06,-0.06,0.04,0.03,0.01,-0.00,-0.01,1005.93
0.046,-0.05,1.00,0.06,-0.06,0.04,0.03,0.01,-0.00,-0.01,1005.93
0.047,-0.06,1.01,0.06,-0.06,0.04,0.03,0.01,-0.00,-0.01,1005.93
0.047,-0.06,1.01,0.06,0.04,0.01,0.07,0.01,-0.00,-0.01,1005.93
0.047,-0.06,1.01,0.06,0.04,0.01,0.07,0.01,0.03,-0.02,1005.93
0.106,-0.06,1.01,0.06,0.17,0.11,-0.11,0.01,0.03,-0.02,1005.93
0.106,-0.04,1.02,0.05,0.17,0.11,-0.11,0.01,0.03,-0.02,1005.93
0.106,-0.04,1.02,0.04,0.17,0.11,-0.11,0.01,0.03,-0.02,1005.93
0.107,-0.03,1.02,0.04,0.17,0.11,-0.11,0.01,0.03,-0.02,1005.93
0.107,-0.03,1.02,0.04,0.17,0.11,-0.11,0.00,0.06,-0.06,1005.93
0.125,-0.03,1.02,0.04,0.17,0.11,-0.11,0.00,0.06,-0.06,1005.92
0.163,-0.10,1.02,0.06,0.17,0.11,-0.11,0.00,0.06,-0.06,1005.92
0.164,-0.07,1.00,0.05,0.17,0.11,-0.11,0.00,0.06,-0.06,1005.92
0.164,-0.01,1.01,0.03,0.17,0.11,-0.11,0.00,0.06,-0.06,1005.92
0.164,-0.01,1.01,0.03,0.17,0.11,-0.11,0.02,0.12,-0.11,1005.92
0.164,-0.01,1.01,0.03,0.01,0.04,-0.06,0.02,0.12,-0.11,1005.92
0.205,-0.01,1.01,0.03,0.01,0.04,-0.06,0.02,0.12,-0.11,1005.91
0.222,-0.01,1.01,0.03,0.80,-0.28,-0.14,0.02,0.12,-0.11,1005.91
0.223,0.01,0.98,0.03,0.80,-0.28,-0.14,0.02,0.12,-0.11,1005.91
0.223,0.01,0.97,0.02,0.80,-0.28,-0.14,0.02,0.12,-0.11,1005.91
0.223,0.01,0.98,0.05,0.80,-0.28,-0.14,0.02,0.12,-0.11,1005.91
0.224,0.01,0.98,0.05,0.80,-0.28,-0.14,0.05,0.28,-0.24,1005.91
0.247,0.01,0.98,0.05,0.80,-0.28,-0.14,0.05,0.28,-0.24,1005.91
0.28,-0.04,0.98,0.08,0.80,-0.28,-0.14,0.05,0.28,-0.24,1005.91
0.28,-0.10,0.98,0.12,0.80,-0.28,-0.14,0.05,0.28,-0.24,1005.91
0.281,-0.13,0.93,0.09,0.80,-0.28,-0.14,0.05,0.28,-0.24,1005.91
0.281,-0.13,0.93,0.09,0.80,-0.28,-0.14,0.15,0.49,-0.40,1005.91
0.281,-0.13,0.93,0.09,0.06,-0.35,0.57,0.15,0.49,-0.40,1005.91
0.325,-0.13,0.93,0.09,0.06,-0.35,0.57,0.15,0.49,-0.40,1005.91
0.339,-0.13,0.93,0.09,-0.09,-1.29,0.11,0.15,0.49,-0.40,1005.91
0.339,-0.13,0.87,0.09,-0.09,-1.29,0.11,0.15,0.49,-0.40,1005.91
0.34,-0.11,0.85,0.03,-0.09,-1.29,0.11,0.15,0.49,-0.40,1005.91
0.34,-0.09,0.87,-0.00,-0.09,-1.29,0.11,0.15,0.49,-0.40,1005.91
0.34,-0.09,0.87,-0.00,-0.09,-1.29,0.11,0.15,0.21,-0.06,1005.91
0.396,-0.11,1.00,0.04,-0.09,-1.29,0.11,0.15,0.21,-0.06,1005.91
0.397,-0.28,1.22,0.13,-0.09,-1.29,0.11,0.15,0.21,-0.06,1005.91
0.397,-0.38,1.27,0.12,-0.09,-1.29,0.11,0.15,0.21,-0.06,1005.91
0.397,-0.38,1.27,0.12,-0.09,-1.29,0.11,0.10,0.30,0.23,1005.91
0.397,-0.38,1.27,0.12,-1.59,1.55,0.68,0.10,0.30,0.23,1005.91
0.405,-0.38,1.27,0.12,-1.59,1.55,0.68,0.10,0.30,0.23,1005.91
0.448,-0.38,1.27,0.12,-1.59,1.55,0.68,0.10,0.30,0.23,1005.92
0.455,-0.16,1.06,-0.01,-1.59,1.55,0.68,0.10,0.30,0.23,1005.92
0.455,-0.02,0.94,-0.04,-1.59,1.55,0.68,0.10,0.30,0.23,1005.92
0.455,0.00,0.88,0.01,-1.59,1.55,0.68,0.10,0.30,0.23,1005.92
0.456,0.00,0.88,0.01,-1.59,1.55,0.68,0.49,0.15,0.53,1005.92
0.456,0.00,0.88,0.01,0.08,-0.42,-0.09,0.49,0.15,0.53,1005.92
0.514,-0.08,0.93,-0.00,0.08,-0.42,-0.09,0.49,0.15,0.53,1005.92
0.516,-0.19,1.06,0.04,0.08,-0.42,-0.09,0.49,0.15,0.53,1005.92
0.517,-0.21,1.07,0.15,0.08,-0.42,-0.09,0.49,0.15,0.53,1005.92
0.518,-0.21,1.07,0.15,0.08,-0.42,-0.09,0.32,0.26,0.62,1005.92
0.52,-0.21,1.07,0.15,-1.25,0.16,0.82,0.32,0.26,0.62,1005.92
